cell_id,Icteria virens,Icteria virens virens,Icteria virens auricollis
820e4ffffffffff,3.0,0.0,0.0
82125ffffffffff,20.0,0.0,0.0
8212cffffffffff,14.0,0.0,0.0
8212d7fffffffff,30.0,0.0,0.0
8212dffffffffff,56.0,0.0,2.0
8212e7fffffffff,2.0,0.0,0.0
8212effffffffff,15.0,0.0,0.0
821aa7fffffffff,94.0,0.0,0.0
821b87fffffffff,2.0,0.0,0.0
822607fffffffff,5.0,0.0,0.0
82260ffffffffff,23.0,0.0,0.0
822617fffffffff,21.0,0.0,0.0
82261ffffffffff,3.0,0.0,0.0
822627fffffffff,16.0,0.0,0.0
82262ffffffffff,48.0,0.0,0.0
822637fffffffff,3.0,0.0,2.0
822647fffffffff,29.0,0.0,0.0
82264ffffffffff,64.0,1.0,0.0
822657fffffffff,101.0,0.0,0.0
82265ffffffffff,37.0,1.0,0.0
822667fffffffff,110.0,2.0,0.0
82266ffffffffff,18.0,0.0,0.0
822677fffffffff,49.0,0.0,0.0
822687fffffffff,83.0,0.0,0.0
82268ffffffffff,146.0,4.0,14.0
822697fffffffff,339.0,0.0,0.0
82269ffffffffff,118.0,0.0,0.0
8226a7fffffffff,29.0,0.0,0.0
8226affffffffff,75.0,16.0,13.0
8226b7fffffffff,5.0,0.0,0.0
8226c7fffffffff,1.0,0.0,0.0
8226cffffffffff,13.0,0.0,0.0
8226d7fffffffff,17.0,0.0,3.0
8226dffffffffff,34.0,0.0,0.0
8226e7fffffffff,7.0,0.0,0.0
8226effffffffff,14.0,0.0,0.0
8226f7fffffffff,58.0,0.0,5.0
822717fffffffff,9.0,0.0,0.0
822747fffffffff,21.0,2.0,0.0
82274ffffffffff,417.0,2.0,0.0
822757fffffffff,79.0,0.0,0.0
82275ffffffffff,297.0,0.0,0.0
82276ffffffffff,2.0,0.0,0.0
822777fffffffff,12.0,0.0,0.0
822787fffffffff,2.0,0.0,0.0
82278ffffffffff,7.0,0.0,3.0
822797fffffffff,9.0,0.0,0.0
82279ffffffffff,11.0,0.0,0.0
8227a7fffffffff,12.0,0.0,0.0
8227affffffffff,28.0,1.0,10.0
8227b7fffffffff,2.0,0.0,0.0
822807fffffffff,26.0,0.0,0.0
822817fffffffff,88.0,0.0,3.0
82281ffffffffff,11.0,0.0,0.0
822837fffffffff,718.0,0.0,5.0
822887fffffffff,145.0,0.0,0.0
82288ffffffffff,97.0,0.0,1.0
822897fffffffff,30.0,0.0,0.0
82289ffffffffff,8.0,0.0,0.0
8228a7fffffffff,5.0,0.0,0.0
8228affffffffff,50.0,0.0,0.0
8228b7fffffffff,47.0,0.0,0.0
8228c7fffffffff,3.0,0.0,0.0
8228d7fffffffff,275.0,0.0,2.0
8228dffffffffff,193.0,0.0,3.0
8228f7fffffffff,148.0,0.0,0.0
822917fffffffff,27.0,0.0,0.0
82291ffffffffff,130.0,0.0,2.0
822987fffffffff,49.0,0.0,0.0
82298ffffffffff,118.0,0.0,3.0
822997fffffffff,18.0,0.0,0.0
8229a7fffffffff,344.0,0.0,5.0
8229affffffffff,27.0,0.0,0.0
8229b7fffffffff,38.0,0.0,9.0
822a07fffffffff,26.0,3.0,0.0
822a17fffffffff,898.0,19.0,0.0
822a1ffffffffff,5.0,0.0,0.0
822a27fffffffff,1.0,0.0,0.0
822a37fffffffff,664.0,44.0,0.0
822a4ffffffffff,17.0,0.0,0.0
822a87fffffffff,52.0,7.0,0.0
822a8ffffffffff,80.0,1.0,0.0
822a97fffffffff,15.0,0.0,0.0
822a9ffffffffff,2.0,0.0,0.0
822aa7fffffffff,267.0,1.0,0.0
822aaffffffffff,436.0,7.0,0.0
822ab7fffffffff,761.0,63.0,0.0
822ad7fffffffff,42.0,0.0,0.0
822af7fffffffff,135.0,6.0,0.0
822b07fffffffff,60.0,0.0,0.0
822b0ffffffffff,211.0,0.0,0.0
822b17fffffffff,11.0,0.0,0.0
822b1ffffffffff,149.0,5.0,0.0
822b27fffffffff,4.0,0.0,0.0
822b2ffffffffff,24.0,0.0,0.0
822b37fffffffff,23.0,0.0,0.0
822b87fffffffff,4.0,3.0,0.0
822b8ffffffffff,75.0,0.0,0.0
822b9ffffffffff,136.0,0.0,0.0
822baffffffffff,81.0,4.0,0.0
824417fffffffff,87.0,2.0,0.0
82441ffffffffff,14.0,0.0,0.0
824447fffffffff,42.0,0.0,0.0
82444ffffffffff,30.0,0.0,0.0
824457fffffffff,48.0,0.0,0.0
82445ffffffffff,1.0,0.0,0.0
824467fffffffff,24.0,0.0,0.0
82446ffffffffff,48.0,1.0,0.0
824477fffffffff,11.0,0.0,0.0
824487fffffffff,1.0,0.0,0.0
8244a7fffffffff,99.0,3.0,0.0
8244affffffffff,217.0,2.0,0.0
8244c7fffffffff,16.0,0.0,0.0
8244cffffffffff,71.0,2.0,0.0
8244d7fffffffff,56.0,2.0,0.0
8244dffffffffff,56.0,0.0,0.0
8244e7fffffffff,38.0,0.0,0.0
8244effffffffff,9.0,0.0,0.0
8244f7fffffffff,229.0,0.0,0.0
824507fffffffff,5.0,0.0,0.0
82450ffffffffff,13.0,0.0,0.0
824527fffffffff,6.0,0.0,0.0
82452ffffffffff,51.0,6.0,0.0
824537fffffffff,6.0,0.0,0.0
824577fffffffff,1.0,0.0,0.0
82459ffffffffff,2.0,0.0,0.0
824807fffffffff,5.0,0.0,0.0
82480ffffffffff,3.0,0.0,0.0
824817fffffffff,8.0,0.0,0.0
824827fffffffff,2.0,0.0,0.0
82482ffffffffff,2.0,0.0,0.0
824837fffffffff,47.0,0.0,43.0
824847fffffffff,13.0,0.0,0.0
82484ffffffffff,5.0,0.0,0.0
824857fffffffff,6.0,0.0,0.0
82485ffffffffff,101.0,0.0,0.0
824877fffffffff,19.0,0.0,0.0
824887fffffffff,87.0,0.0,0.0
82488ffffffffff,10.0,0.0,0.0
824897fffffffff,46.0,2.0,0.0
82489ffffffffff,45.0,1.0,0.0
8248a7fffffffff,7.0,0.0,0.0
8248b7fffffffff,80.0,0.0,0.0
8248c7fffffffff,46.0,0.0,17.0
8248cffffffffff,11.0,0.0,0.0
8248d7fffffffff,22.0,0.0,0.0
8248dffffffffff,83.0,0.0,0.0
8248e7fffffffff,7.0,0.0,0.0
8248effffffffff,430.0,0.0,235.0
8248f7fffffffff,11.0,0.0,5.0
824987fffffffff,41.0,5.0,9.0
824997fffffffff,57.0,2.0,0.0
82499ffffffffff,2.0,0.0,0.0
8249a7fffffffff,1.0,0.0,0.0
8249affffffffff,46.0,0.0,46.0
8249b7fffffffff,8.0,0.0,2.0
8266b7fffffffff,5.0,0.0,0.0
826c67fffffffff,1.0,0.0,0.0
826d27fffffffff,23.0,0.0,3.0
826d2ffffffffff,6.0,0.0,0.0
826d37fffffffff,105.0,3.0,0.0
826d67fffffffff,3.0,0.0,0.0
826d6ffffffffff,35.0,2.0,0.0
