cell_id,Terpsiphone atrocaudata,Terpsiphone atrocaudata atrocaudata/illex,Terpsiphone atrocaudata periophthalmica
842e615ffffffff,2.0,0.0,0.0
842e689ffffffff,11.0,0.0,0.0
842e729ffffffff,3.0,0.0,0.0
8430833ffffffff,11.0,0.0,0.0
8430981ffffffff,2.0,0.0,0.0
8430991ffffffff,1.0,0.0,0.0
8430995ffffffff,6.0,0.0,0.0
84309a5ffffffff,1.0,0.0,0.0
84309b3ffffffff,8.0,0.0,0.0
84309bbffffffff,3.0,0.0,0.0
84309d3ffffffff,3.0,0.0,0.0
84309d9ffffffff,33.0,0.0,0.0
8430c4dffffffff,2.0,0.0,0.0
8430d11ffffffff,8.0,0.0,0.0
8430d15ffffffff,6.0,0.0,0.0
8430d39ffffffff,1.0,0.0,0.0
8430e0bffffffff,5.0,0.0,0.0
8430e31ffffffff,6.0,0.0,0.0
8430e57ffffffff,5.0,0.0,0.0
8441035ffffffff,21.0,0.0,0.0
8441037ffffffff,47.0,0.0,0.0
84411c9ffffffff,22.0,0.0,0.0
84411cbffffffff,78.0,0.0,0.0
84411d5ffffffff,12.0,0.0,0.0
8441315ffffffff,2.0,0.0,0.0
8441a43ffffffff,2.0,0.0,0.0
8441a55ffffffff,3.0,0.0,0.0
8441b43ffffffff,225.0,0.0,0.0
8441b5dffffffff,47.0,0.0,0.0
8441b61ffffffff,2.0,0.0,0.0
8441b65ffffffff,4.0,0.0,0.0
844a247ffffffff,1.0,0.0,0.0
844a261ffffffff,3.0,0.0,0.0
844a26bffffffff,6.0,0.0,0.0
844b197ffffffff,6.0,0.0,0.0
844b26dffffffff,161.0,0.0,0.0
844b30bffffffff,8.0,0.0,0.0
844b35dffffffff,1.0,0.0,0.0
844b56dffffffff,3.0,0.0,0.0
844b661ffffffff,3.0,0.0,0.0
844b753ffffffff,6.0,0.0,0.0
844b845ffffffff,1.0,0.0,0.0
844b84dffffffff,1.0,0.0,0.0
844b863ffffffff,221.0,0.0,0.0
844b86dffffffff,2.0,0.0,0.0
844b913ffffffff,10.0,0.0,0.0
844b9cdffffffff,47.0,0.0,0.0
844ba01ffffffff,1.0,0.0,0.0
844ba03ffffffff,4.0,0.0,0.0
844ba05ffffffff,16.0,0.0,0.0
844ba09ffffffff,16.0,0.0,0.0
844ba0bffffffff,51.0,0.0,0.0
844ba0dffffffff,3.0,0.0,0.0
844ba15ffffffff,106.0,0.0,0.0
844ba19ffffffff,21.0,0.0,0.0
844ba1bffffffff,1.0,0.0,0.0
844ba1dffffffff,6.0,0.0,0.0
844ba25ffffffff,4.0,0.0,0.0
844ba27ffffffff,1.0,0.0,0.0
844ba29ffffffff,24.0,0.0,0.0
844ba2bffffffff,2.0,0.0,0.0
844ba31ffffffff,2.0,0.0,0.0
844ba35ffffffff,2.0,0.0,0.0
844ba39ffffffff,2.0,0.0,0.0
844ba3bffffffff,11.0,0.0,0.0
844ba3dffffffff,11.0,0.0,0.0
844ba53ffffffff,3.0,0.0,0.0
844ba57ffffffff,206.0,0.0,0.0
844ba63ffffffff,2.0,0.0,0.0
844ba81ffffffff,10.0,0.0,0.0
844ba85ffffffff,2.0,0.0,0.0
844ba87ffffffff,2.0,0.0,0.0
844ba91ffffffff,6.0,0.0,0.0
844bb11ffffffff,34.0,0.0,0.0
844bb19ffffffff,46.0,0.0,0.0
844bb1bffffffff,2.0,0.0,0.0
844bb51ffffffff,80.0,0.0,0.0
844bb53ffffffff,5.0,0.0,0.0
844bb59ffffffff,20.0,0.0,0.0
8465005ffffffff,2.0,0.0,0.0
846502bffffffff,1.0,0.0,0.0
8465043ffffffff,1.0,0.0,0.0
8465051ffffffff,6.0,0.0,0.0
8465055ffffffff,3.0,0.0,0.0
8465057ffffffff,8.0,0.0,0.0
846505dffffffff,10.0,0.0,0.0
846520dffffffff,2.0,0.0,0.0
8465229ffffffff,6.0,0.0,0.0
8465887ffffffff,4.0,0.0,0.0
84658e3ffffffff,117.0,0.0,0.0
