cell_id,Psilopogon asiaticus,Psilopogon asiaticus asiaticus,Psilopogon asiaticus davisoni
83209afffffffff,246.0,0.0,0.0
833c02fffffffff,1914.0,264.0,0.0
833c06fffffffff,49.0,2.0,0.0
833c0afffffffff,440.0,6.0,0.0
833c0bfffffffff,45.0,2.0,0.0
833c15fffffffff,45.0,0.0,0.0
833c18fffffffff,11.0,0.0,0.0
833c19fffffffff,1095.0,20.0,0.0
833c1afffffffff,6.0,0.0,0.0
833c1bfffffffff,81.0,0.0,0.0
833c1cfffffffff,294.0,0.0,0.0
833c1dfffffffff,350.0,6.0,0.0
833c30fffffffff,9.0,0.0,0.0
833c31fffffffff,23.0,0.0,0.0
833c33fffffffff,160.0,0.0,0.0
833c34fffffffff,8.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0
833c52fffffffff,397.0,0.0,0.0
833c53fffffffff,28.0,0.0,0.0
833c58fffffffff,798.0,0.0,0.0
833c59fffffffff,1.0,0.0,0.0
833c5afffffffff,1223.0,0.0,0.0
833c5bfffffffff,555.0,0.0,0.0
833c5cfffffffff,32.0,0.0,0.0
833c5efffffffff,71.0,0.0,0.0
833c88fffffffff,1.0,0.0,0.0
833c89fffffffff,86.0,0.0,0.0
833c8cfffffffff,32.0,0.0,0.0
833c8dfffffffff,120.0,2.0,0.0
833ca8fffffffff,4.0,0.0,0.0
833ca9fffffffff,30.0,0.0,0.0
833cabfffffffff,72.0,0.0,0.0
833cc0fffffffff,348.0,0.0,0.0
833cc1fffffffff,20.0,0.0,0.0
833cc2fffffffff,55.0,0.0,0.0
833cc3fffffffff,50.0,0.0,0.0
833cc4fffffffff,420.0,0.0,0.0
833cc5fffffffff,314.0,0.0,0.0
833cc6fffffffff,74.0,0.0,0.0
833ccbfffffffff,10.0,0.0,0.0
833cccfffffffff,63.0,0.0,0.0
833ccdfffffffff,3.0,0.0,0.0
833cd1fffffffff,5.0,0.0,0.0
833cd4fffffffff,4.0,0.0,0.0
