cell_id,Tauraco corythaix,Tauraco corythaix phoebus,Tauraco corythaix corythaix
84972d5ffffffff,4.0,2.0,0.0
84972d7ffffffff,4.0,0.0,0.0
84972d9ffffffff,227.0,47.0,0.0
84bc091ffffffff,15.0,0.0,0.0
84bc093ffffffff,3.0,0.0,0.0
84bc095ffffffff,5.0,0.0,1.0
84bc099ffffffff,2.0,0.0,2.0
84bc0a3ffffffff,1.0,0.0,0.0
84bc0a7ffffffff,2.0,0.0,0.0
84bc0bdffffffff,9.0,0.0,0.0
84bc193ffffffff,3.0,0.0,0.0
84bc197ffffffff,29.0,0.0,6.0
84bc19bffffffff,17.0,0.0,0.0
84bc1b3ffffffff,3.0,0.0,1.0
84bc1b7ffffffff,2.0,0.0,0.0
84bc1bbffffffff,12.0,0.0,0.0
84bc409ffffffff,24.0,0.0,9.0
84bc443ffffffff,40.0,0.0,6.0
84bc447ffffffff,85.0,0.0,25.0
84bc455ffffffff,345.0,0.0,70.0
84bc457ffffffff,11.0,0.0,1.0
84bc46dffffffff,11.0,0.0,0.0
84bc545ffffffff,22.0,0.0,0.0
84bc549ffffffff,2.0,0.0,2.0
84bc717ffffffff,2.0,0.0,0.0
84bc723ffffffff,17.0,0.0,1.0
84bc731ffffffff,3.0,0.0,0.0
84bc735ffffffff,4.0,0.0,0.0
84bc737ffffffff,6.0,0.0,1.0
84bc739ffffffff,11.0,0.0,0.0
84bc73bffffffff,22.0,0.0,0.0
84bc73dffffffff,4.0,0.0,0.0
84bcd01ffffffff,14.0,3.0,0.0
84bcd03ffffffff,11.0,0.0,0.0
84bcd05ffffffff,2.0,0.0,0.0
84bcd07ffffffff,170.0,63.0,0.0
84bcd09ffffffff,7.0,0.0,0.0
84bcd0bffffffff,8.0,4.0,0.0
84bcd21ffffffff,1.0,0.0,0.0
84bcd37ffffffff,11.0,0.0,0.0
84bcd3dffffffff,17.0,0.0,0.0
84bcd4bffffffff,4.0,0.0,0.0
84bcd57ffffffff,2.0,2.0,0.0
84bce29ffffffff,2.0,0.0,0.0
84bce2dffffffff,4.0,0.0,4.0
84bce49ffffffff,2.0,0.0,0.0
84bce4dffffffff,2.0,0.0,0.0
84bce61ffffffff,2.0,0.0,0.0
84bce63ffffffff,8.0,0.0,0.0
84bce65ffffffff,14.0,0.0,3.0
84bce67ffffffff,128.0,0.0,39.0
84bce69ffffffff,4.0,0.0,0.0
84bce6bffffffff,10.0,0.0,0.0
84bce6dffffffff,3.0,0.0,0.0
84bcf09ffffffff,5.0,0.0,0.0
84bcf0bffffffff,2.0,0.0,1.0
84bcf2dffffffff,2.0,0.0,0.0
84bcf53ffffffff,86.0,0.0,17.0
84bcf59ffffffff,13.0,0.0,0.0
84bcf5bffffffff,42.0,0.0,7.0
84bcf5dffffffff,1.0,0.0,0.0
