cell_id,Apalis cinerea,Apalis cinerea sclateri,Apalis cinerea grandis,Apalis cinerea cinerea/funebris
8358d1fffffffff,3.0,0.0,0.0,0.0
8358d3fffffffff,48.0,0.0,0.0,48.0
8358dcfffffffff,3.0,0.0,0.0,2.0
8358defffffffff,3.0,0.0,0.0,0.0
836ac0fffffffff,3.0,0.0,0.0,0.0
836ac1fffffffff,61.0,0.0,0.0,9.0
836ac3fffffffff,8.0,0.0,0.0,0.0
836ac5fffffffff,5.0,0.0,0.0,0.0
836acefffffffff,2.0,0.0,0.0,0.0
836ad1fffffffff,3.0,0.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0,0.0
836adcfffffffff,526.0,0.0,0.0,49.0
836addfffffffff,2.0,0.0,0.0,0.0
836adefffffffff,76.0,0.0,0.0,0.0
836ae8fffffffff,2.0,0.0,0.0,0.0
836aeafffffffff,14.0,0.0,0.0,7.0
836aedfffffffff,2.0,0.0,0.0,0.0
837a40fffffffff,14.0,0.0,0.0,0.0
837a41fffffffff,9.0,0.0,0.0,0.0
837a43fffffffff,5.0,0.0,0.0,0.0
837a45fffffffff,431.0,0.0,0.0,6.0
837a48fffffffff,62.0,0.0,0.0,0.0
837a4cfffffffff,68.0,0.0,0.0,0.0
837a4dfffffffff,3.0,0.0,0.0,0.0
837a68fffffffff,23.0,0.0,0.0,0.0
837a6afffffffff,5.0,0.0,0.0,0.0
837a6bfffffffff,13.0,0.0,0.0,0.0
837a6efffffffff,135.0,0.0,0.0,0.0
8382d0fffffffff,30.0,26.0,0.0,0.0
8382d1fffffffff,13.0,13.0,0.0,0.0
8382d2fffffffff,5.0,4.0,0.0,0.0
8382d3fffffffff,36.0,24.0,0.0,0.0
838315fffffffff,1.0,0.0,1.0,0.0
838326fffffffff,4.0,0.0,0.0,0.0
838332fffffffff,3.0,0.0,3.0,0.0
838333fffffffff,14.0,0.0,2.0,0.0
839692fffffffff,5.0,0.0,0.0,0.0
839693fffffffff,7.0,0.0,0.0,0.0
