cell_id,Picumnus cirratus,Picumnus cirratus macconnelli/confusus,Picumnus cirratus [cirratus Group]
825f2ffffffffff,21.0,0.0,0.0
828a9ffffffffff,1.0,1.0,0.0
82a81ffffffffff,1.0,0.0,0.0
82a897fffffffff,3.0,0.0,2.0
82a947fffffffff,3.0,0.0,0.0
82a967fffffffff,117.0,0.0,2.0
82a96ffffffffff,40.0,0.0,0.0
82b247fffffffff,1.0,0.0,1.0
82b24ffffffffff,358.0,0.0,0.0
82b25ffffffffff,3.0,0.0,0.0
82b267fffffffff,3.0,0.0,0.0
82b26ffffffffff,106.0,0.0,0.0
82b277fffffffff,5.0,2.0,2.0
82b35ffffffffff,2.0,0.0,2.0
82c2c7fffffffff,31.0,0.0,0.0
82c2cffffffffff,139.0,0.0,0.0
82c2dffffffffff,1.0,0.0,0.0
82c2e7fffffffff,23.0,0.0,0.0
82c2effffffffff,6.0,0.0,0.0
