cell_id,Otidiphaps nobilis,Otidiphaps nobilis nobilis,Otidiphaps nobilis aruensis,Otidiphaps nobilis cervicalis,Otidiphaps nobilis insularis
8472847ffffffff,1.0,0.0,0.0,0.0,0.0
8472a2bffffffff,19.0,0.0,0.0,0.0,0.0
8472d23ffffffff,5.0,0.0,0.0,0.0,0.0
8472d39ffffffff,1.0,0.0,0.0,0.0,0.0
84739a1ffffffff,5.0,0.0,0.0,0.0,0.0
84739abffffffff,4.0,0.0,0.0,0.0,0.0
84739b1ffffffff,32.0,0.0,0.0,0.0,0.0
849c851ffffffff,6.0,0.0,0.0,0.0,0.0
849c85bffffffff,126.0,0.0,0.0,8.0,0.0
849c8a3ffffffff,2.0,0.0,0.0,0.0,0.0
849c8b5ffffffff,6.0,0.0,0.0,0.0,0.0
849c8bdffffffff,5.0,0.0,0.0,0.0,0.0
849c8edffffffff,1.0,0.0,0.0,0.0,0.0
849c9d5ffffffff,7.0,0.0,0.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0,0.0,0.0
849cb51ffffffff,4.0,0.0,0.0,0.0,0.0
849cd2dffffffff,1.0,0.0,0.0,0.0,0.0
849d9b3ffffffff,1.0,0.0,0.0,0.0,0.0
