cell_id,Megascops asio,Megascops asio [asio Group],Megascops asio mccallii
8426003ffffffff,7.0,0.0,0.0
842600bffffffff,8.0,0.0,0.0
842600dffffffff,2.0,0.0,0.0
8426015ffffffff,38.0,3.0,0.0
8426017ffffffff,2.0,0.0,0.0
8426019ffffffff,2.0,0.0,0.0
842601dffffffff,15.0,0.0,0.0
8426021ffffffff,2.0,0.0,0.0
8426023ffffffff,3.0,0.0,0.0
8426027ffffffff,4.0,0.0,0.0
8426029ffffffff,2.0,0.0,0.0
8426033ffffffff,19.0,13.0,0.0
8426035ffffffff,11.0,6.0,0.0
8426039ffffffff,18.0,0.0,0.0
842603bffffffff,16.0,0.0,0.0
842603dffffffff,10.0,4.0,0.0
8426041ffffffff,2.0,0.0,0.0
8426043ffffffff,3.0,0.0,0.0
842604bffffffff,2.0,0.0,0.0
8426051ffffffff,6.0,0.0,0.0
8426055ffffffff,5.0,0.0,0.0
8426057ffffffff,4.0,0.0,0.0
8426059ffffffff,4.0,0.0,0.0
842605bffffffff,7.0,0.0,0.0
842605dffffffff,7.0,0.0,0.0
8426063ffffffff,4.0,0.0,0.0
8426081ffffffff,2.0,2.0,0.0
8426083ffffffff,2.0,0.0,0.0
8426085ffffffff,5.0,0.0,0.0
8426087ffffffff,2.0,0.0,0.0
842608dffffffff,6.0,0.0,0.0
8426093ffffffff,2.0,0.0,0.0
8426095ffffffff,2.0,0.0,0.0
8426099ffffffff,7.0,0.0,0.0
842609dffffffff,1.0,0.0,0.0
84260a1ffffffff,40.0,0.0,0.0
84260a3ffffffff,1.0,0.0,0.0
84260adffffffff,17.0,0.0,0.0
84260b1ffffffff,3.0,0.0,0.0
84260b3ffffffff,14.0,3.0,0.0
84260b5ffffffff,2.0,0.0,0.0
84260b9ffffffff,14.0,2.0,0.0
84260bbffffffff,18.0,0.0,0.0
84260bdffffffff,10.0,3.0,0.0
84260c1ffffffff,9.0,0.0,0.0
84260c3ffffffff,2.0,0.0,0.0
84260cdffffffff,2.0,2.0,0.0
84260d1ffffffff,2.0,0.0,0.0
84260d9ffffffff,6.0,0.0,0.0
84260ddffffffff,2.0,0.0,0.0
84260e1ffffffff,1.0,0.0,0.0
84260e3ffffffff,6.0,2.0,0.0
84260e7ffffffff,3.0,0.0,0.0
84260ebffffffff,1.0,0.0,0.0
8426103ffffffff,4.0,0.0,0.0
842610bffffffff,2.0,0.0,0.0
842610dffffffff,8.0,0.0,0.0
8426111ffffffff,6.0,0.0,0.0
8426115ffffffff,1.0,1.0,0.0
842611dffffffff,2.0,0.0,0.0
8426127ffffffff,12.0,0.0,0.0
8426143ffffffff,1.0,0.0,0.0
842614bffffffff,4.0,0.0,0.0
8426155ffffffff,2.0,0.0,0.0
8426183ffffffff,8.0,0.0,0.0
842618bffffffff,2.0,0.0,0.0
8426191ffffffff,2.0,0.0,0.0
8426193ffffffff,2.0,0.0,0.0
8426195ffffffff,1.0,0.0,0.0
8426197ffffffff,1.0,0.0,0.0
842619dffffffff,3.0,0.0,0.0
84261a1ffffffff,1.0,0.0,0.0
84261a7ffffffff,2.0,0.0,0.0
84261b1ffffffff,6.0,0.0,0.0
84261b3ffffffff,2.0,0.0,0.0
84261b5ffffffff,2.0,0.0,0.0
84261b7ffffffff,3.0,0.0,0.0
84261bbffffffff,4.0,0.0,0.0
84261c5ffffffff,9.0,0.0,0.0
84261d7ffffffff,5.0,0.0,0.0
84261dbffffffff,1.0,0.0,0.0
84261e1ffffffff,1.0,0.0,0.0
84261e9ffffffff,2.0,0.0,0.0
84261ebffffffff,2.0,0.0,0.0
842620dffffffff,2.0,0.0,0.0
8426211ffffffff,2.0,0.0,0.0
8426213ffffffff,8.0,0.0,0.0
842621bffffffff,4.0,0.0,0.0
842622bffffffff,2.0,0.0,0.0
842622dffffffff,5.0,0.0,0.0
8426231ffffffff,1.0,0.0,0.0
8426233ffffffff,5.0,0.0,0.0
8426237ffffffff,13.0,0.0,0.0
842623bffffffff,2.0,0.0,0.0
8426245ffffffff,2.0,0.0,0.0
8426257ffffffff,4.0,0.0,0.0
8426261ffffffff,9.0,5.0,0.0
8426263ffffffff,2.0,0.0,0.0
8426265ffffffff,4.0,0.0,0.0
8426269ffffffff,11.0,4.0,0.0
842626dffffffff,3.0,1.0,0.0
8426281ffffffff,2.0,0.0,0.0
8426297ffffffff,2.0,0.0,0.0
842629bffffffff,1.0,0.0,0.0
84262b7ffffffff,4.0,0.0,0.0
84262c1ffffffff,10.0,0.0,0.0
84262c3ffffffff,7.0,0.0,0.0
84262c9ffffffff,65.0,3.0,0.0
84262cdffffffff,37.0,0.0,0.0
84262d3ffffffff,2.0,0.0,0.0
84262d9ffffffff,2.0,0.0,0.0
84262dbffffffff,2.0,0.0,0.0
84262ddffffffff,2.0,0.0,0.0
84262e3ffffffff,2.0,0.0,0.0
84262e9ffffffff,1.0,0.0,0.0
84262ebffffffff,1.0,0.0,0.0
84262edffffffff,3.0,0.0,0.0
8426321ffffffff,2.0,0.0,0.0
842632bffffffff,2.0,0.0,0.0
8426337ffffffff,18.0,0.0,0.0
8426347ffffffff,2.0,0.0,0.0
8426359ffffffff,14.0,0.0,0.0
8426363ffffffff,5.0,0.0,0.0
8426369ffffffff,38.0,3.0,0.0
8426401ffffffff,2.0,0.0,0.0
8426403ffffffff,10.0,0.0,0.0
8426405ffffffff,10.0,0.0,0.0
8426407ffffffff,3.0,0.0,0.0
8426409ffffffff,13.0,0.0,0.0
842640bffffffff,1.0,0.0,0.0
842640dffffffff,75.0,0.0,0.0
8426411ffffffff,46.0,0.0,0.0
8426415ffffffff,53.0,9.0,0.0
8426417ffffffff,15.0,0.0,0.0
842641bffffffff,2.0,0.0,0.0
842641dffffffff,3.0,0.0,0.0
8426421ffffffff,10.0,2.0,0.0
8426423ffffffff,8.0,0.0,0.0
8426425ffffffff,6.0,0.0,0.0
8426429ffffffff,1.0,0.0,0.0
842642bffffffff,3.0,0.0,0.0
842642dffffffff,4.0,0.0,0.0
8426431ffffffff,16.0,0.0,0.0
8426433ffffffff,45.0,0.0,0.0
8426435ffffffff,1.0,0.0,0.0
8426437ffffffff,19.0,0.0,0.0
8426439ffffffff,16.0,0.0,0.0
842643bffffffff,22.0,0.0,0.0
8426443ffffffff,2.0,0.0,0.0
8426445ffffffff,1.0,0.0,0.0
842644dffffffff,5.0,0.0,0.0
8426455ffffffff,15.0,2.0,0.0
8426459ffffffff,4.0,0.0,0.0
8426461ffffffff,20.0,0.0,0.0
8426463ffffffff,46.0,0.0,0.0
8426467ffffffff,2.0,0.0,0.0
842646bffffffff,40.0,0.0,0.0
842646dffffffff,11.0,0.0,0.0
8426481ffffffff,64.0,0.0,0.0
8426483ffffffff,2.0,0.0,0.0
8426485ffffffff,1.0,0.0,0.0
8426487ffffffff,3.0,0.0,0.0
8426489ffffffff,116.0,0.0,0.0
842648bffffffff,36.0,0.0,0.0
842648dffffffff,2.0,0.0,0.0
8426493ffffffff,59.0,0.0,0.0
8426495ffffffff,7.0,0.0,0.0
8426497ffffffff,14.0,0.0,0.0
8426499ffffffff,3.0,0.0,0.0
842649bffffffff,35.0,0.0,0.0
842649dffffffff,12.0,0.0,0.0
84264a1ffffffff,3.0,0.0,0.0
84264a3ffffffff,3.0,0.0,0.0
84264a5ffffffff,9.0,0.0,0.0
84264a7ffffffff,9.0,0.0,0.0
84264a9ffffffff,6.0,0.0,0.0
