cell_id,Coracina striata,Coracina striata [sumatrensis Group],Coracina striata [striata Group]
836500fffffffff,31.0,0.0,0.0
836502fffffffff,8.0,0.0,0.0
836504fffffffff,1.0,0.0,0.0
83651cfffffffff,3.0,0.0,0.0
836818fffffffff,9.0,0.0,0.0
836943fffffffff,3.0,0.0,2.0
