cell_id,Pyrrhura lepida,Pyrrhura lepida lepida,Pyrrhura lepida anerythra,Pyrrhura lepida coerulescens
838008fffffffff,1.0,0.0,0.0,1.0
838061fffffffff,9.0,0.0,8.0,0.0
838063fffffffff,2.0,0.0,0.0,0.0
838064fffffffff,4.0,0.0,3.0,0.0
838065fffffffff,36.0,0.0,36.0,0.0
83806efffffffff,2.0,0.0,0.0,0.0
838071fffffffff,1.0,0.0,1.0,0.0
838074fffffffff,27.0,0.0,0.0,18.0
838075fffffffff,6.0,0.0,1.0,0.0
838076fffffffff,3.0,0.0,0.0,2.0
838146fffffffff,3.0,0.0,2.0,1.0
838148fffffffff,2.0,0.0,1.0,0.0
83814afffffffff,76.0,0.0,53.0,0.0
83814cfffffffff,1.0,0.0,0.0,0.0
83814dfffffffff,33.0,0.0,33.0,0.0
83814efffffffff,35.0,0.0,28.0,0.0
838159fffffffff,2.0,0.0,2.0,0.0
83815afffffffff,12.0,0.0,0.0,6.0
83815dfffffffff,17.0,0.0,10.0,0.0
838161fffffffff,1.0,0.0,0.0,0.0
838163fffffffff,3.0,0.0,0.0,0.0
838a92fffffffff,6.0,0.0,0.0,0.0
838b96fffffffff,5.0,0.0,0.0,0.0
838b9dfffffffff,5.0,0.0,0.0,0.0
83a8c9fffffffff,4.0,0.0,0.0,0.0
