cell_id,Buteo platypterus,Buteo platypterus platypterus,Buteo platypterus [antillarum Group]
830ec9fffffffff,1.0,1.0,0.0
830eccfffffffff,49.0,0.0,0.0
830eeafffffffff,108.0,0.0,0.0
831221fffffffff,1.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0
831232fffffffff,1.0,0.0,0.0
831251fffffffff,5.0,5.0,0.0
831253fffffffff,1.0,1.0,0.0
831258fffffffff,2.0,0.0,0.0
831259fffffffff,2.0,0.0,0.0
83128bfffffffff,3.0,0.0,0.0
83128dfffffffff,2.0,0.0,0.0
8312abfffffffff,4.0,0.0,0.0
8312c0fffffffff,9.0,0.0,0.0
8312c1fffffffff,4.0,0.0,0.0
8312c2fffffffff,4.0,0.0,0.0
8312c3fffffffff,1.0,0.0,0.0
8312c5fffffffff,2.0,0.0,0.0
8312c8fffffffff,7.0,0.0,0.0
8312c9fffffffff,6.0,0.0,0.0
8312cafffffffff,3.0,0.0,0.0
8312cbfffffffff,19.0,0.0,0.0
8312ccfffffffff,26.0,0.0,0.0
8312cdfffffffff,3.0,0.0,0.0
8312d0fffffffff,2.0,0.0,0.0
8312d1fffffffff,17.0,0.0,0.0
8312d3fffffffff,5.0,0.0,0.0
8312d4fffffffff,2.0,0.0,0.0
8312d8fffffffff,41.0,0.0,0.0
8312d9fffffffff,4.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0
8312dcfffffffff,22.0,0.0,0.0
8312ddfffffffff,3.0,0.0,0.0
8312defffffffff,2.0,0.0,0.0
8312e1fffffffff,2.0,0.0,0.0
8312e8fffffffff,2.0,0.0,0.0
8312eafffffffff,8.0,0.0,0.0
8312ebfffffffff,1.0,0.0,0.0
8312f2fffffffff,2.0,0.0,0.0
8312f3fffffffff,1.0,0.0,0.0
8312f6fffffffff,2.0,0.0,0.0
832601fffffffff,12.0,0.0,0.0
832602fffffffff,5.0,0.0,0.0
832603fffffffff,9.0,0.0,0.0
832604fffffffff,5.0,0.0,0.0
832608fffffffff,4.0,1.0,0.0
83260afffffffff,11.0,0.0,0.0
83260bfffffffff,4.0,0.0,0.0
83260efffffffff,21.0,2.0,0.0
832611fffffffff,6.0,0.0,0.0
832612fffffffff,6.0,0.0,0.0
832619fffffffff,6.0,0.0,0.0
83261afffffffff,2.0,0.0,0.0
