cell_id,Henicorhina leucophrys,Henicorhina leucophrys [mexicana Group],Henicorhina leucophrys brunneiceps,Henicorhina leucophrys bangsi,Henicorhina leucophrys manastarae,Henicorhina leucophrys meridana,Henicorhina leucophrys venezuelensis,Henicorhina leucophrys hilaris,Henicorhina leucophrys leucophrys/boliviana
824527fffffffff,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824987fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8249a7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
826627fffffffff,14.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0
8266a7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,49.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0
8266dffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8266e7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8266f7fffffffff,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82674ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d07fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d17fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d27fffffffff,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d2ffffffffff,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d37fffffffff,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,55.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b27fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
828b67fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
828f0ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
828f2ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
