cell_id,Hylopezus macularius,Hylopezus macularius macularius,Hylopezus macularius dilutus
835f00fffffffff,1.0,0.0,0.0
835f01fffffffff,5.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,67.0,2.0,0.0
835f06fffffffff,5.0,1.0,0.0
835f10fffffffff,17.0,0.0,0.0
835f11fffffffff,8.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0
835f13fffffffff,9.0,0.0,0.0
835f14fffffffff,7.0,0.0,0.0
835f15fffffffff,3.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0
835f1cfffffffff,1.0,0.0,0.0
835f23fffffffff,1.0,0.0,0.0
835f29fffffffff,2.0,0.0,0.0
835f2bfffffffff,305.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0
835f42fffffffff,4.0,1.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f54fffffffff,8.0,0.0,0.0
835f71fffffffff,6.0,0.0,0.0
835f75fffffffff,1.0,0.0,0.0
836640fffffffff,1.0,0.0,0.0
836641fffffffff,25.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0
8366ecfffffffff,135.0,0.0,0.0
838049fffffffff,1.0,0.0,0.0
838069fffffffff,1.0,0.0,0.0
838a68fffffffff,3.0,0.0,0.0
838a69fffffffff,5.0,0.0,0.0
838aeafffffffff,2.0,0.0,0.0
838af0fffffffff,2.0,0.0,0.0
838af2fffffffff,3.0,0.0,0.0
838af6fffffffff,94.0,13.0,0.0
838f61fffffffff,1.0,0.0,0.0
838f65fffffffff,2.0,0.0,0.0
