cell_id,Megascops guatemalae,Megascops guatemalae [guatemalae Group],Megascops guatemalae vermiculatus
824507fffffffff,99.0,0.0,0.0
82450ffffffffff,596.0,108.0,0.0
824527fffffffff,487.0,67.0,0.0
82452ffffffffff,1328.0,138.0,0.0
824537fffffffff,244.0,39.0,0.0
824577fffffffff,2.0,0.0,0.0
824807fffffffff,4.0,0.0,0.0
82480ffffffffff,41.0,0.0,0.0
824837fffffffff,130.0,5.0,0.0
8248e7fffffffff,2.0,0.0,0.0
82499ffffffffff,8.0,0.0,0.0
8249affffffffff,22.0,2.0,0.0
8266a7fffffffff,1.0,0.0,0.0
8266b7fffffffff,54.0,0.0,0.0
826797fffffffff,8.0,0.0,0.0
82679ffffffffff,138.0,0.0,0.0
826d17fffffffff,32.0,6.0,0.0
826d27fffffffff,147.0,35.0,0.0
826d2ffffffffff,291.0,18.0,0.0
826d37fffffffff,85.0,26.0,0.0
826d67fffffffff,41.0,5.0,0.0
826d6ffffffffff,1131.0,0.0,0.0
