cell_id,Pampusana beccarii,Pampusana beccarii beccarii,Pampusana beccarii [johannae Group]
8372a2fffffffff,86.0,0.0,0.0
8372b0fffffffff,1.0,0.0,0.0
8372dafffffffff,62.0,0.0,0.0
8372dbfffffffff,5.0,0.0,0.0
8372defffffffff,1.0,0.0,0.0
83739afffffffff,1.0,0.0,0.0
837680fffffffff,1.0,0.0,0.0
837682fffffffff,1.0,0.0,0.0
83769dfffffffff,1.0,0.0,0.0
837791fffffffff,2.0,0.0,0.0
839c85fffffffff,5.0,0.0,0.0
839c8afffffffff,3.0,0.0,0.0
839c8bfffffffff,6.0,0.0,0.0
839c90fffffffff,11.0,0.0,0.0
839c9dfffffffff,26.0,0.0,0.0
839cd2fffffffff,4.0,0.0,0.0
839ec0fffffffff,5.0,0.0,0.0
839ed1fffffffff,1.0,0.0,0.0
839ed5fffffffff,18.0,0.0,0.0
