cell_id,Melanerpes aurifrons,Melanerpes aurifrons aurifrons,Melanerpes aurifrons [santacruzi Group],Melanerpes aurifrons polygrammus
8226c7fffffffff,4.0,0.0,0.0,0.0
8226cffffffffff,11.0,0.0,0.0,0.0
8226d7fffffffff,6.0,0.0,0.0,0.0
8226dffffffffff,69.0,0.0,0.0,0.0
82446ffffffffff,129.0,0.0,0.0,0.0
824507fffffffff,17.0,0.0,0.0,0.0
82450ffffffffff,7.0,0.0,2.0,0.0
824527fffffffff,23.0,0.0,3.0,0.0
82452ffffffffff,38.0,0.0,32.0,0.0
824537fffffffff,1.0,0.0,0.0,0.0
82481ffffffffff,9.0,0.0,0.0,0.0
824887fffffffff,7.0,0.0,0.0,0.0
824897fffffffff,22.0,0.0,0.0,0.0
82489ffffffffff,51.0,0.0,0.0,0.0
8248affffffffff,1.0,0.0,0.0,0.0
8248b7fffffffff,31.0,11.0,0.0,0.0
8248d7fffffffff,16.0,0.0,0.0,0.0
8248f7fffffffff,8.0,0.0,0.0,0.0
824987fffffffff,3.0,0.0,3.0,0.0
82498ffffffffff,3.0,0.0,0.0,0.0
824997fffffffff,53.0,1.0,20.0,0.0
82499ffffffffff,17.0,0.0,17.0,0.0
8249affffffffff,15.0,0.0,0.0,0.0
826797fffffffff,5.0,0.0,0.0,0.0
826d07fffffffff,28.0,0.0,0.0,27.0
826d27fffffffff,19.0,0.0,5.0,0.0
826d2ffffffffff,24.0,4.0,9.0,0.0
826d37fffffffff,215.0,0.0,101.0,106.0
826d67fffffffff,1.0,0.0,0.0,0.0
826d77fffffffff,5.0,0.0,4.0,0.0
