cell_id,Saxicola torquatus,Saxicola torquatus [torquatus Group],Saxicola torquatus albofasciatus,Saxicola torquatus sibilla
826adffffffffff,5.0,4.0,1.0,0.0
827a47fffffffff,2.0,2.0,0.0,0.0
827a67fffffffff,18.0,0.0,0.0,0.0
827a6ffffffffff,9.0,2.0,0.0,0.0
829607fffffffff,1.0,0.0,0.0,0.0
82960ffffffffff,1.0,1.0,0.0,0.0
82962ffffffffff,2.0,2.0,0.0,0.0
829697fffffffff,3.0,0.0,0.0,0.0
82a237fffffffff,4.0,0.0,0.0,3.0
82a30ffffffffff,10.0,0.0,0.0,9.0
82bc6ffffffffff,2.0,0.0,0.0,0.0
82bcdffffffffff,3.0,0.0,0.0,0.0
82bcf7fffffffff,1.0,0.0,0.0,0.0
