cell_id,Dendrocopos leucotos,Dendrocopos leucotos lilfordi,Dendrocopos leucotos [leucotos Group],Dendrocopos leucotos owstoni
8408335ffffffff,1.0,0.0,0.0,0.0
8408889ffffffff,11.0,0.0,0.0,0.0
8408985ffffffff,2.0,0.0,0.0,0.0
840898bffffffff,4.0,0.0,0.0,0.0
8408997ffffffff,11.0,0.0,0.0,0.0
840899dffffffff,3.0,0.0,0.0,0.0
84089a1ffffffff,5.0,0.0,0.0,0.0
84089a5ffffffff,2.0,0.0,0.0,0.0
84089a9ffffffff,15.0,0.0,0.0,0.0
84089abffffffff,2.0,0.0,0.0,0.0
84089b7ffffffff,1.0,0.0,0.0,0.0
84089bbffffffff,2.0,0.0,0.0,0.0
84089d1ffffffff,2.0,0.0,0.0,0.0
84089d3ffffffff,4.0,0.0,0.0,0.0
84089d9ffffffff,2.0,0.0,0.0,0.0
8408d0bffffffff,1.0,0.0,0.0,0.0
8408d51ffffffff,1.0,0.0,0.0,0.0
8408d55ffffffff,1.0,0.0,0.0,0.0
8408d57ffffffff,1.0,0.0,0.0,0.0
84098d1ffffffff,2.0,0.0,0.0,0.0
8409913ffffffff,2.0,0.0,0.0,0.0
840991bffffffff,1.0,0.0,0.0,0.0
840bb03ffffffff,4.0,0.0,0.0,0.0
8410a2dffffffff,1.0,0.0,0.0,0.0
8410b39ffffffff,2.0,0.0,0.0,0.0
8410c23ffffffff,12.0,0.0,0.0,0.0
8410c35ffffffff,6.0,0.0,0.0,0.0
8410c67ffffffff,2.0,0.0,0.0,0.0
8410dc9ffffffff,9.0,0.0,0.0,0.0
8410ee1ffffffff,1.0,0.0,0.0,0.0
8411015ffffffff,1.0,0.0,0.0,0.0
8411029ffffffff,2.0,0.0,0.0,0.0
8411031ffffffff,4.0,0.0,0.0,0.0
841103bffffffff,4.0,0.0,0.0,0.0
8411045ffffffff,2.0,0.0,0.0,0.0
8411059ffffffff,6.0,0.0,0.0,0.0
841105bffffffff,4.0,0.0,2.0,0.0
8411061ffffffff,27.0,0.0,0.0,0.0
8411069ffffffff,22.0,0.0,0.0,0.0
841106bffffffff,15.0,0.0,0.0,0.0
841106dffffffff,4.0,0.0,0.0,0.0
841115bffffffff,2.0,0.0,0.0,0.0
8411169ffffffff,5.0,0.0,0.0,0.0
8411221ffffffff,2.0,0.0,0.0,0.0
8411237ffffffff,1.0,0.0,0.0,0.0
841124dffffffff,1.0,0.0,0.0,0.0
8411261ffffffff,11.0,0.0,2.0,0.0
841126bffffffff,9.0,0.0,2.0,0.0
841126dffffffff,13.0,0.0,9.0,0.0
8411285ffffffff,3.0,0.0,0.0,0.0
84112e3ffffffff,8.0,0.0,1.0,0.0
84112ebffffffff,1.0,0.0,0.0,0.0
8411301ffffffff,2.0,0.0,0.0,0.0
841131dffffffff,2.0,0.0,0.0,0.0
8411337ffffffff,3.0,0.0,0.0,0.0
8411345ffffffff,1.0,0.0,0.0,0.0
8411347ffffffff,28.0,0.0,0.0,0.0
841134bffffffff,1.0,0.0,0.0,0.0
841134dffffffff,8.0,0.0,0.0,0.0
8411355ffffffff,2.0,0.0,0.0,0.0
841135dffffffff,6.0,0.0,0.0,0.0
8411363ffffffff,2.0,0.0,0.0,0.0
