cell_id,Poliolais lopezi,Poliolais lopezi manengubae,Poliolais lopezi alexanderi,Poliolais lopezi lopezi
8358d1fffffffff,3.0,0.0,0.0,0.0
8358d3fffffffff,31.0,21.0,0.0,0.0
8382d0fffffffff,13.0,0.0,0.0,8.0
8382d1fffffffff,5.0,0.0,0.0,3.0
8382d2fffffffff,19.0,1.0,0.0,0.0
8382d3fffffffff,30.0,0.0,18.0,0.0
