cell_id,Geositta cunicularia,Geositta cunicularia [frobeni Group],Geositta cunicularia georgei,Geositta cunicularia deserticolor,Geositta cunicularia fissirostris,Geositta cunicularia [cunicularia Group]
838e60fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838e66fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
83a905fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
83a921fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83a960fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83b200fffffffff,8.0,0.0,0.0,1.0,0.0,0.0
83b201fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83b203fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83b21dfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83b222fffffffff,6.0,0.0,0.0,3.0,0.0,0.0
83b22bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83b242fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83b258fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83b25bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83b25cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83b2c0fffffffff,14.0,0.0,0.0,0.0,1.0,0.0
83b2c4fffffffff,48.0,0.0,0.0,0.0,3.0,0.0
83b2cafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83b2dafffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83b2e2fffffffff,97.0,0.0,0.0,0.0,5.0,0.0
83b2e9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83b2ecfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83b2edfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83b305fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
83b323fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
83b330fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83b354fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
83b355fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83b35afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83c219fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83c21dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83c2ebfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83c2f1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83c301fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83c32afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83c345fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83c350fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83c354fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83c356fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83c36cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83c36efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83ce80fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83ce83fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83ce88fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83ce8bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83ce8cfffffffff,22.0,0.0,0.0,0.0,0.0,0.0
83ce98fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83ce99fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83ce9cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83ce9efffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83cf94fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83cfa0fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83cfa2fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83cfa4fffffffff,41.0,0.0,0.0,0.0,0.0,21.0
83cfb1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83df68fffffffff,4.0,0.0,0.0,0.0,0.0,4.0
83df69fffffffff,19.0,0.0,0.0,0.0,0.0,9.0
83df6afffffffff,8.0,0.0,0.0,0.0,0.0,5.0
