cell_id,Ploceus baglafecht,Ploceus baglafecht [baglafecht Group],Ploceus baglafecht emini,Ploceus baglafecht reichenowi,Ploceus baglafecht [stuhlmanni Group]
8358d3fffffffff,3.0,0.0,0.0,0.0,0.0
836ac1fffffffff,1.0,0.0,0.0,0.0,1.0
836adcfffffffff,2.0,0.0,0.0,0.0,2.0
836adefffffffff,5.0,2.0,0.0,0.0,2.0
837a41fffffffff,2.0,0.0,0.0,2.0,0.0
837a45fffffffff,8.0,0.0,0.0,7.0,0.0
837a48fffffffff,2.0,0.0,0.0,2.0,0.0
837a4cfffffffff,7.0,0.0,0.0,4.0,0.0
837a4dfffffffff,2.0,0.0,2.0,0.0,0.0
837a5cfffffffff,2.0,0.0,0.0,0.0,0.0
837a5dfffffffff,3.0,0.0,0.0,0.0,0.0
837a64fffffffff,1.0,0.0,0.0,0.0,0.0
837a6afffffffff,17.0,0.0,0.0,16.0,0.0
837a6efffffffff,24.0,0.0,0.0,16.0,0.0
837ac8fffffffff,2.0,0.0,2.0,0.0,0.0
837accfffffffff,1.0,0.0,1.0,0.0,0.0
837acdfffffffff,4.0,0.0,0.0,0.0,0.0
