cell_id,Chlidonias niger,Chlidonias niger niger,Chlidonias niger surinamensis
820887fffffffff,49.0,16.0,0.0
82088ffffffffff,3.0,0.0,0.0
82089ffffffffff,29.0,3.0,0.0
8208b7fffffffff,29.0,0.0,0.0
8208d7fffffffff,7.0,2.0,0.0
820bb7fffffffff,2.0,2.0,0.0
820e9ffffffffff,3.0,0.0,0.0
821017fffffffff,7.0,0.0,0.0
8210a7fffffffff,14.0,3.0,0.0
8210c7fffffffff,2.0,0.0,0.0
8210dffffffffff,3.0,0.0,0.0
8210f7fffffffff,2.0,0.0,0.0
821107fffffffff,38.0,1.0,0.0
821117fffffffff,8.0,0.0,0.0
821127fffffffff,4.0,0.0,0.0
821137fffffffff,13.0,0.0,0.0
821187fffffffff,36.0,5.0,0.0
82118ffffffffff,164.0,18.0,0.0
8211affffffffff,199.0,82.0,0.0
82120ffffffffff,2.0,0.0,0.0
82121ffffffffff,174.0,0.0,0.0
821227fffffffff,2.0,0.0,0.0
821237fffffffff,3.0,0.0,0.0
821247fffffffff,4.0,0.0,0.0
82124ffffffffff,105.0,0.0,0.0
821257fffffffff,640.0,0.0,119.0
82125ffffffffff,440.0,0.0,1.0
82126ffffffffff,2.0,0.0,0.0
821277fffffffff,100.0,0.0,0.0
82128ffffffffff,54.0,0.0,0.0
8212affffffffff,41.0,0.0,0.0
8212c7fffffffff,146.0,0.0,0.0
8212cffffffffff,1854.0,0.0,0.0
8212d7fffffffff,76.0,0.0,0.0
8212dffffffffff,327.0,0.0,5.0
8212e7fffffffff,183.0,0.0,8.0
8212effffffffff,2626.0,0.0,75.0
8212f7fffffffff,17.0,0.0,0.0
821357fffffffff,3.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0
821597fffffffff,14.0,0.0,0.0
821847fffffffff,21.0,0.0,0.0
82184ffffffffff,213.0,0.0,0.0
821857fffffffff,5.0,0.0,0.0
82185ffffffffff,19.0,0.0,0.0
821867fffffffff,4.0,2.0,0.0
82186ffffffffff,41.0,1.0,0.0
821877fffffffff,3.0,0.0,0.0
821947fffffffff,192.0,66.0,0.0
82194ffffffffff,186.0,35.0,0.0
821957fffffffff,15.0,8.0,0.0
82195ffffffffff,78.0,2.0,0.0
82196ffffffffff,304.0,6.0,0.0
821977fffffffff,35.0,0.0,0.0
821e07fffffffff,459.0,58.0,0.0
821e0ffffffffff,426.0,15.0,0.0
821e17fffffffff,145.0,16.0,0.0
821e1ffffffffff,154.0,14.0,0.0
821e27fffffffff,191.0,0.0,0.0
821e2ffffffffff,90.0,0.0,0.0
821e37fffffffff,161.0,0.0,0.0
821e47fffffffff,4.0,0.0,0.0
821e4ffffffffff,4.0,0.0,0.0
821e57fffffffff,11.0,1.0,0.0
821e5ffffffffff,158.0,5.0,0.0
821e67fffffffff,41.0,0.0,0.0
821e6ffffffffff,25.0,0.0,0.0
821e77fffffffff,13.0,0.0,0.0
821e87fffffffff,20.0,1.0,0.0
821e8ffffffffff,4.0,0.0,0.0
821ea7fffffffff,53.0,4.0,0.0
821eaffffffffff,21.0,0.0,0.0
821eb7fffffffff,8.0,0.0,0.0
821ec7fffffffff,231.0,13.0,0.0
821ecffffffffff,135.0,15.0,0.0
821ed7fffffffff,31.0,0.0,0.0
821edffffffffff,33.0,1.0,0.0
821ee7fffffffff,24.0,2.0,0.0
821eeffffffffff,133.0,31.0,0.0
821ef7fffffffff,32.0,9.0,0.0
821f07fffffffff,63.0,26.0,0.0
821f0ffffffffff,155.0,4.0,0.0
821f17fffffffff,30.0,0.0,0.0
821f1ffffffffff,110.0,2.0,0.0
821f27fffffffff,10.0,3.0,0.0
821f2ffffffffff,97.0,24.0,0.0
821f37fffffffff,89.0,11.0,0.0
821f47fffffffff,32.0,0.0,0.0
821f4ffffffffff,31.0,0.0,0.0
821f57fffffffff,264.0,41.0,0.0
821f5ffffffffff,130.0,17.0,0.0
821f67fffffffff,10.0,0.0,0.0
821f6ffffffffff,17.0,0.0,0.0
821f77fffffffff,166.0,4.0,0.0
821f87fffffffff,127.0,6.0,0.0
821f8ffffffffff,133.0,24.0,0.0
821f97fffffffff,4.0,1.0,0.0
821f9ffffffffff,29.0,1.0,0.0
821fa7fffffffff,60.0,3.0,0.0
821faffffffffff,67.0,0.0,0.0
821fb7fffffffff,37.0,0.0,0.0
82200ffffffffff,10.0,7.0,0.0
822017fffffffff,6.0,2.0,0.0
82201ffffffffff,20.0,4.0,0.0
82202ffffffffff,1.0,0.0,0.0
82204ffffffffff,1.0,1.0,0.0
8220e7fffffffff,32.0,3.0,0.0
8220effffffffff,8.0,0.0,0.0
822127fffffffff,8.0,1.0,0.0
82214ffffffffff,2.0,0.0,0.0
822157fffffffff,62.0,22.0,0.0
822407fffffffff,4.0,0.0,0.0
82242ffffffffff,49.0,0.0,0.0
822437fffffffff,13.0,0.0,0.0
822467fffffffff,3.0,0.0,0.0
822477fffffffff,20.0,0.0,0.0
822517fffffffff,15.0,0.0,0.0
822547fffffffff,2.0,0.0,0.0
82255ffffffffff,5.0,0.0,0.0
8225a7fffffffff,16.0,2.0,0.0
8225affffffffff,4.0,0.0,0.0
8225b7fffffffff,16.0,3.0,0.0
822607fffffffff,544.0,0.0,0.0
82260ffffffffff,521.0,0.0,1.0
822617fffffffff,275.0,0.0,1.0
82261ffffffffff,280.0,0.0,6.0
822627fffffffff,2234.0,0.0,0.0
82262ffffffffff,725.0,0.0,0.0
822637fffffffff,2646.0,0.0,0.0
822647fffffffff,606.0,0.0,31.0
82264ffffffffff,466.0,0.0,0.0
822657fffffffff,898.0,0.0,0.0
82265ffffffffff,361.0,0.0,0.0
822667fffffffff,477.0,0.0,6.0
82266ffffffffff,407.0,0.0,0.0
822677fffffffff,526.0,0.0,53.0
822687fffffffff,204.0,0.0,0.0
82268ffffffffff,1061.0,0.0,0.0
822697fffffffff,188.0,0.0,0.0
82269ffffffffff,64.0,0.0,0.0
8226a7fffffffff,23.0,0.0,0.0
8226affffffffff,1591.0,0.0,0.0
8226b7fffffffff,44.0,0.0,2.0
8226c7fffffffff,291.0,0.0,0.0
8226cffffffffff,655.0,0.0,0.0
8226d7fffffffff,180.0,0.0,0.0
8226dffffffffff,214.0,0.0,0.0
8226e7fffffffff,2265.0,0.0,0.0
8226effffffffff,155.0,0.0,0.0
8226f7fffffffff,524.0,0.0,0.0
822707fffffffff,1135.0,0.0,0.0
82270ffffffffff,160.0,0.0,0.0
822717fffffffff,1780.0,0.0,0.0
82271ffffffffff,1655.0,0.0,0.0
822747fffffffff,290.0,0.0,0.0
82274ffffffffff,460.0,0.0,0.0
822757fffffffff,1198.0,0.0,0.0
82275ffffffffff,4872.0,0.0,0.0
822767fffffffff,170.0,0.0,8.0
82276ffffffffff,1790.0,0.0,0.0
822787fffffffff,219.0,0.0,0.0
82278ffffffffff,109.0,0.0,0.0
822797fffffffff,219.0,0.0,0.0
82279ffffffffff,68.0,0.0,0.0
8227a7fffffffff,642.0,0.0,0.0
8227affffffffff,1908.0,0.0,0.0
8227b7fffffffff,445.0,0.0,0.0
822817fffffffff,398.0,0.0,0.0
82281ffffffffff,850.0,0.0,0.0
822837fffffffff,349.0,0.0,0.0
822887fffffffff,234.0,0.0,0.0
82288ffffffffff,390.0,0.0,0.0
822897fffffffff,105.0,0.0,0.0
82289ffffffffff,292.0,0.0,0.0
8228a7fffffffff,64.0,0.0,0.0
8228affffffffff,2343.0,0.0,0.0
8228b7fffffffff,235.0,0.0,0.0
8228d7fffffffff,2.0,0.0,0.0
8228f7fffffffff,31.0,0.0,0.0
822917fffffffff,8.0,0.0,0.0
