cell_id,Asio flammeus,Asio flammeus flammeus,Asio flammeus ponapensis,Asio flammeus sandwichensis,Asio flammeus domingensis/portoricensis,Asio flammeus galapagoensis,Asio flammeus [suinda Group]
820747fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820c17fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
820c1ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,43.0,1.0,0.0,0.0,0.0,0.0,0.0
820c5ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,34.0,8.0,0.0,0.0,0.0,0.0,0.0
820ca7fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
820cdffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
820ce7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820d0ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820d4ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820d67fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820e07fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820e2ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0
820e57fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,19.0,1.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,114.0,0.0,0.0,0.0,0.0,0.0,0.0
820ef7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820f5ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82118ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,16.0,2.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
821297fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
