cell_id,Pachyglossa agilis,Pachyglossa agilis agilis/zeylonica,Pachyglossa agilis [obsoleta Group],Pachyglossa agilis [aeruginosa Group]
843c02dffffffff,2.0,0.0,0.0,0.0
843c155ffffffff,2.0,0.0,0.0,0.0
843c1e9ffffffff,32.0,0.0,0.0,0.0
843c335ffffffff,13.0,0.0,0.0,0.0
843c33dffffffff,2.0,0.0,0.0,0.0
843c367ffffffff,5.0,0.0,0.0,0.0
843c369ffffffff,7.0,0.0,0.0,0.0
843c36bffffffff,6.0,0.0,0.0,0.0
843c801ffffffff,16.0,0.0,0.0,0.0
843c805ffffffff,25.0,0.0,0.0,0.0
843c807ffffffff,6.0,0.0,0.0,0.0
843c809ffffffff,1.0,0.0,0.0,0.0
843c823ffffffff,3.0,0.0,0.0,0.0
843c82dffffffff,1.0,0.0,0.0,0.0
843c831ffffffff,1.0,0.0,0.0,0.0
843c839ffffffff,8.0,0.0,0.0,0.0
843c83bffffffff,1.0,0.0,0.0,0.0
843c843ffffffff,7.0,0.0,0.0,0.0
843c867ffffffff,2.0,0.0,0.0,0.0
843c8c1ffffffff,9.0,0.0,0.0,0.0
843c8c7ffffffff,6.0,0.0,0.0,0.0
843c8c9ffffffff,3.0,0.0,0.0,0.0
843c8cbffffffff,39.0,0.0,0.0,0.0
843c8e1ffffffff,2.0,0.0,0.0,0.0
843c8e5ffffffff,6.0,0.0,0.0,0.0
843c8edffffffff,93.0,0.0,0.0,0.0
843c903ffffffff,2.0,0.0,0.0,0.0
843c905ffffffff,2.0,0.0,0.0,0.0
843c909ffffffff,75.0,0.0,0.0,0.0
843c90bffffffff,4.0,0.0,0.0,0.0
843c923ffffffff,2.0,0.0,0.0,0.0
843c929ffffffff,3.0,0.0,0.0,0.0
843c92bffffffff,2.0,0.0,0.0,0.0
843c92dffffffff,10.0,0.0,0.0,0.0
843c931ffffffff,8.0,0.0,0.0,0.0
843c93bffffffff,3.0,0.0,0.0,0.0
843c941ffffffff,1.0,0.0,0.0,0.0
843c943ffffffff,38.0,0.0,0.0,0.0
843c945ffffffff,25.0,0.0,0.0,0.0
843c947ffffffff,90.0,0.0,0.0,0.0
843c949ffffffff,2.0,0.0,0.0,0.0
843c94bffffffff,2.0,0.0,0.0,0.0
843c951ffffffff,2.0,0.0,0.0,0.0
843c953ffffffff,2.0,0.0,0.0,0.0
843c959ffffffff,15.0,0.0,0.0,0.0
843c95bffffffff,3.0,0.0,0.0,0.0
843c965ffffffff,1.0,0.0,0.0,0.0
843c967ffffffff,17.0,0.0,0.0,0.0
843ca03ffffffff,3.0,0.0,0.0,0.0
843ca13ffffffff,2.0,0.0,0.0,0.0
843ca15ffffffff,2.0,0.0,0.0,0.0
843ca25ffffffff,13.0,0.0,0.0,0.0
843ca33ffffffff,9.0,0.0,0.0,0.0
843ca39ffffffff,2.0,0.0,0.0,0.0
843ca41ffffffff,8.0,0.0,0.0,0.0
843ca45ffffffff,7.0,0.0,0.0,0.0
843ca47ffffffff,19.0,0.0,0.0,0.0
843ca67ffffffff,2.0,0.0,0.0,0.0
843ca85ffffffff,1.0,0.0,0.0,0.0
843ca87ffffffff,27.0,0.0,0.0,0.0
843ca8dffffffff,2.0,0.0,0.0,0.0
843ca95ffffffff,2.0,0.0,0.0,0.0
843ca97ffffffff,9.0,1.0,0.0,0.0
843cab1ffffffff,17.0,3.0,0.0,0.0
843cabbffffffff,3.0,0.0,0.0,0.0
843cac3ffffffff,8.0,0.0,0.0,0.0
843caddffffffff,15.0,0.0,0.0,0.0
843cae5ffffffff,8.0,0.0,0.0,0.0
843cb03ffffffff,17.0,0.0,0.0,0.0
843cb07ffffffff,6.0,0.0,0.0,0.0
843cb09ffffffff,14.0,0.0,0.0,0.0
843cb0bffffffff,12.0,0.0,0.0,0.0
843cb11ffffffff,22.0,0.0,0.0,0.0
843cb13ffffffff,17.0,0.0,0.0,0.0
843cb15ffffffff,28.0,0.0,0.0,0.0
843cb19ffffffff,4.0,0.0,0.0,0.0
843cb1bffffffff,4.0,0.0,0.0,0.0
843cb1dffffffff,74.0,0.0,0.0,0.0
843cb23ffffffff,9.0,0.0,0.0,0.0
843cb29ffffffff,2.0,0.0,0.0,0.0
843cb31ffffffff,3.0,0.0,0.0,0.0
843cb39ffffffff,58.0,0.0,0.0,0.0
843cb3bffffffff,16.0,0.0,0.0,0.0
843cb3dffffffff,3.0,0.0,0.0,0.0
843cb41ffffffff,4.0,0.0,0.0,0.0
843cb45ffffffff,8.0,0.0,0.0,0.0
843cb47ffffffff,7.0,0.0,0.0,0.0
843cb4bffffffff,15.0,0.0,0.0,0.0
843cb4dffffffff,23.0,0.0,0.0,0.0
843cb51ffffffff,11.0,0.0,0.0,0.0
843cb55ffffffff,6.0,0.0,0.0,0.0
843cb59ffffffff,15.0,0.0,0.0,0.0
843cb5bffffffff,1.0,0.0,0.0,0.0
843cb5dffffffff,250.0,0.0,0.0,0.0
843cb65ffffffff,8.0,0.0,0.0,0.0
843cb69ffffffff,6.0,0.0,0.0,0.0
843cb6bffffffff,18.0,0.0,0.0,0.0
843cb6dffffffff,5.0,0.0,0.0,0.0
843cf69ffffffff,6.0,0.0,0.0,0.0
843cf6dffffffff,5.0,0.0,0.0,0.0
843d101ffffffff,19.0,0.0,0.0,0.0
843d107ffffffff,210.0,0.0,0.0,0.0
843d109ffffffff,2.0,0.0,0.0,0.0
843d10dffffffff,3.0,0.0,0.0,0.0
843d131ffffffff,3.0,0.0,0.0,0.0
843d135ffffffff,60.0,0.0,0.0,0.0
843d137ffffffff,24.0,0.0,0.0,0.0
843d139ffffffff,48.0,0.0,0.0,0.0
843d13dffffffff,44.0,0.0,0.0,0.0
843d147ffffffff,5.0,0.0,0.0,0.0
843d149ffffffff,4.0,0.0,0.0,0.0
843d16bffffffff,1.0,0.0,0.0,0.0
843d305ffffffff,2.0,0.0,0.0,0.0
843d307ffffffff,1.0,0.0,0.0,0.0
843d30dffffffff,3.0,0.0,0.0,0.0
843d345ffffffff,4.0,0.0,0.0,0.0
843d363ffffffff,8.0,0.0,0.0,0.0
843d36bffffffff,8.0,0.0,0.0,0.0
843d853ffffffff,2.0,0.0,0.0,0.0
843d85bffffffff,1.0,0.0,0.0,0.0
843d86bffffffff,3.0,0.0,0.0,0.0
843d8a5ffffffff,4.0,0.0,0.0,0.0
843d8b1ffffffff,11.0,0.0,0.0,0.0
843d8b7ffffffff,3.0,0.0,0.0,0.0
843d8b9ffffffff,3.0,0.0,0.0,0.0
843d8bdffffffff,4.0,0.0,0.0,0.0
843d8c1ffffffff,2.0,0.0,0.0,0.0
843d8c3ffffffff,6.0,0.0,0.0,0.0
843d8d5ffffffff,20.0,0.0,0.0,0.0
843d8ddffffffff,28.0,0.0,0.0,0.0
843d8e5ffffffff,2.0,0.0,0.0,0.0
843d911ffffffff,1.0,0.0,0.0,0.0
843d915ffffffff,45.0,0.0,0.0,0.0
843d929ffffffff,29.0,0.0,0.0,0.0
843d92bffffffff,2.0,0.0,0.0,0.0
843d933ffffffff,4.0,0.0,0.0,0.0
843d93bffffffff,8.0,0.0,0.0,0.0
843d93dffffffff,7.0,0.0,0.0,0.0
843d963ffffffff,3.0,0.0,0.0,0.0
843d967ffffffff,4.0,0.0,0.0,0.0
843d96bffffffff,1.0,0.0,0.0,0.0
843d983ffffffff,10.0,0.0,0.0,0.0
843d987ffffffff,49.0,0.0,0.0,0.0
843d98dffffffff,17.0,0.0,0.0,0.0
843d993ffffffff,27.0,0.0,0.0,0.0
843d997ffffffff,5.0,0.0,0.0,0.0
843d9a7ffffffff,7.0,0.0,0.0,0.0
843d9a9ffffffff,2.0,0.0,0.0,0.0
843d9abffffffff,3.0,0.0,0.0,0.0
843d9adffffffff,16.0,0.0,0.0,0.0
843d9b7ffffffff,429.0,0.0,0.0,0.0
843d9b9ffffffff,89.0,0.0,0.0,0.0
843d9bbffffffff,5.0,0.0,0.0,0.0
843d9bdffffffff,2.0,0.0,0.0,0.0
843d9d1ffffffff,6.0,0.0,0.0,0.0
843d9d3ffffffff,24.0,0.0,0.0,0.0
843d9dbffffffff,17.0,0.0,0.0,0.0
843d9e3ffffffff,2.0,0.0,0.0,0.0
843d9e5ffffffff,210.0,0.0,0.0,0.0
843d9e7ffffffff,29.0,0.0,0.0,0.0
843d9edffffffff,4.0,0.0,0.0,0.0
843da37ffffffff,14.0,0.0,0.0,0.0
843da91ffffffff,1.0,0.0,0.0,0.0
843da93ffffffff,4.0,0.0,0.0,0.0
843da95ffffffff,2.0,0.0,0.0,0.0
843da97ffffffff,5.0,0.0,0.0,0.0
843da99ffffffff,15.0,0.0,0.0,0.0
843dab5ffffffff,3.0,0.0,0.0,0.0
843dac9ffffffff,14.0,0.0,0.0,0.0
843dad1ffffffff,19.0,0.0,0.0,0.0
843dad7ffffffff,7.0,0.0,0.0,0.0
843dad9ffffffff,14.0,0.0,0.0,0.0
843daddffffffff,64.0,0.0,0.0,0.0
843db23ffffffff,2.0,0.0,0.0,0.0
843db31ffffffff,4.0,0.0,0.0,0.0
843db35ffffffff,9.0,0.0,0.0,0.0
8440619ffffffff,15.0,0.0,2.0,0.0
8441493ffffffff,2.0,0.0,0.0,0.0
8441497ffffffff,1.0,0.0,0.0,0.0
84414d5ffffffff,2.0,0.0,0.0,0.0
8441655ffffffff,2.0,0.0,0.0,0.0
8441685ffffffff,1.0,0.0,0.0,0.0
844169dffffffff,2.0,0.0,0.0,0.0
84416a3ffffffff,6.0,0.0,0.0,0.0
84416b9ffffffff,2.0,0.0,0.0,0.0
84416bdffffffff,6.0,0.0,0.0,0.0
84416c3ffffffff,1.0,0.0,0.0,0.0
84416c5ffffffff,5.0,0.0,2.0,0.0
84416d7ffffffff,2.0,0.0,0.0,0.0
84416dbffffffff,2.0,0.0,0.0,0.0
84416e5ffffffff,1.0,0.0,0.0,0.0
8442c27ffffffff,51.0,0.0,0.0,0.0
8442c83ffffffff,14.0,0.0,0.0,0.0
8442c87ffffffff,2.0,0.0,0.0,0.0
8442c89ffffffff,1.0,0.0,0.0,0.0
8442c8bffffffff,10.0,0.0,0.0,0.0
8442c8dffffffff,1.0,0.0,0.0,0.0
8442c97ffffffff,1.0,0.0,0.0,0.0
8442c9dffffffff,2.0,0.0,0.0,0.0
8442ca1ffffffff,4.0,0.0,0.0,0.0
8442ca3ffffffff,1.0,0.0,0.0,0.0
8442ca7ffffffff,6.0,0.0,0.0,0.0
8442ca9ffffffff,5.0,0.0,0.0,0.0
8442cabffffffff,32.0,0.0,0.0,0.0
8442cb9ffffffff,14.0,0.0,0.0,0.0
8442cbdffffffff,22.0,0.0,0.0,0.0
8442cc5ffffffff,31.0,0.0,0.0,0.0
8442cc7ffffffff,134.0,0.0,0.0,0.0
8442cc9ffffffff,2.0,0.0,0.0,0.0
8442cd1ffffffff,24.0,0.0,0.0,0.0
8442cddffffffff,6.0,0.0,0.0,0.0
8442ce3ffffffff,54.0,0.0,0.0,0.0
8442ce7ffffffff,15.0,0.0,0.0,0.0
8442ce9ffffffff,6.0,0.0,0.0,0.0
8442cebffffffff,22.0,0.0,0.0,0.0
8442d1bffffffff,2.0,0.0,0.0,0.0
8442d91ffffffff,6.0,0.0,0.0,0.0
8442d93ffffffff,50.0,0.0,0.0,0.0
8442d95ffffffff,8.0,0.0,0.0,0.0
8442d97ffffffff,40.0,0.0,0.0,0.0
8442d9bffffffff,4.0,0.0,0.0,0.0
8442d9dffffffff,14.0,0.0,0.0,0.0
8442db1ffffffff,4.0,0.0,0.0,0.0
8442db3ffffffff,46.0,0.0,0.0,0.0
8442db5ffffffff,25.0,0.0,0.0,0.0
8442db7ffffffff,201.0,0.0,0.0,0.0
8442db9ffffffff,4.0,0.0,0.0,0.0
8442dbbffffffff,36.0,0.0,0.0,0.0
8442dbdffffffff,6.0,0.0,0.0,0.0
8442dcdffffffff,83.0,0.0,0.0,0.0
8442eb1ffffffff,2.0,0.0,0.0,0.0
8442eb3ffffffff,20.0,0.0,0.0,0.0
8460025ffffffff,13.0,0.0,0.0,0.0
846002dffffffff,2.0,0.0,0.0,0.0
8460065ffffffff,92.0,0.0,0.0,0.0
8460067ffffffff,8.0,0.0,0.0,0.0
8460069ffffffff,3.0,0.0,0.0,0.0
846006dffffffff,44.0,0.0,0.0,0.0
8460101ffffffff,1.0,0.0,0.0,0.0
8460103ffffffff,6.0,0.0,0.0,0.0
8460105ffffffff,7.0,0.0,0.0,0.0
8460109ffffffff,4.0,0.0,0.0,0.0
8460111ffffffff,14.0,0.0,0.0,0.0
8460113ffffffff,82.0,0.0,0.0,0.0
8460115ffffffff,5.0,0.0,0.0,0.0
8460117ffffffff,48.0,0.0,0.0,0.0
8460119ffffffff,15.0,0.0,0.0,0.0
846011bffffffff,16.0,0.0,0.0,0.0
846011dffffffff,12.0,0.0,0.0,0.0
8460121ffffffff,3.0,0.0,0.0,0.0
846012bffffffff,6.0,0.0,0.0,0.0
8460131ffffffff,7.0,0.0,0.0,0.0
8460139ffffffff,32.0,0.0,0.0,0.0
846013dffffffff,2.0,0.0,0.0,0.0
8460141ffffffff,1.0,0.0,0.0,0.0
8460143ffffffff,10.0,0.0,0.0,0.0
8460145ffffffff,6.0,0.0,0.0,0.0
8460147ffffffff,8.0,0.0,0.0,0.0
8460149ffffffff,28.0,0.0,0.0,0.0
846014bffffffff,10.0,0.0,0.0,0.0
846014dffffffff,42.0,0.0,0.0,0.0
8460151ffffffff,47.0,0.0,0.0,0.0
8460153ffffffff,10.0,0.0,0.0,0.0
8460157ffffffff,9.0,0.0,0.0,0.0
8460159ffffffff,31.0,0.0,0.0,0.0
846015bffffffff,72.0,0.0,0.0,0.0
846015dffffffff,98.0,0.0,0.0,0.0
8460161ffffffff,22.0,0.0,0.0,0.0
8460163ffffffff,1.0,0.0,0.0,0.0
846016bffffffff,7.0,0.0,0.0,0.0
846016dffffffff,12.0,0.0,0.0,0.0
84601a5ffffffff,2.0,0.0,0.0,0.0
84601e5ffffffff,15.0,0.0,0.0,0.0
84601e9ffffffff,96.0,0.0,0.0,0.0
84601edffffffff,10.0,0.0,0.0,0.0
8460225ffffffff,13.0,0.0,0.0,0.0
8460229ffffffff,2.0,0.0,0.0,0.0
846022dffffffff,12.0,0.0,0.0,0.0
8460261ffffffff,47.0,0.0,0.0,0.0
8460267ffffffff,15.0,0.0,0.0,0.0
8460269ffffffff,8.0,0.0,0.0,0.0
846026dffffffff,2.0,0.0,0.0,0.0
8460309ffffffff,8.0,0.0,0.0,0.0
846030bffffffff,24.0,0.0,0.0,0.0
8460311ffffffff,145.0,0.0,0.0,0.0
8460313ffffffff,49.0,0.0,0.0,0.0
8460315ffffffff,4.0,0.0,0.0,0.0
8460317ffffffff,55.0,0.0,0.0,0.0
8460319ffffffff,66.0,0.0,0.0,0.0
846031bffffffff,12.0,0.0,0.0,0.0
846031dffffffff,176.0,0.0,0.0,0.0
8460323ffffffff,37.0,0.0,0.0,0.0
8460325ffffffff,2.0,0.0,0.0,0.0
8460327ffffffff,25.0,0.0,0.0,0.0
846032dffffffff,13.0,0.0,0.0,0.0
8460331ffffffff,35.0,0.0,0.0,0.0
8460333ffffffff,86.0,0.0,0.0,0.0
8460335ffffffff,32.0,0.0,0.0,0.0
8460337ffffffff,9.0,0.0,0.0,0.0
846033bffffffff,77.0,0.0,0.0,0.0
8460343ffffffff,8.0,0.0,0.0,0.0
8460351ffffffff,9.0,0.0,0.0,0.0
8460353ffffffff,57.0,0.0,0.0,0.0
8460355ffffffff,1.0,0.0,0.0,0.0
8460357ffffffff,5.0,0.0,0.0,0.0
846035bffffffff,38.0,0.0,0.0,0.0
8460367ffffffff,3.0,0.0,0.0,0.0
8460805ffffffff,2.0,0.0,0.0,0.0
8460807ffffffff,2.0,0.0,0.0,0.0
8460845ffffffff,5.0,0.0,0.0,0.0
8460849ffffffff,3.0,0.0,0.0,0.0
846084dffffffff,9.0,0.0,0.0,0.0
8460881ffffffff,44.0,0.0,0.0,0.0
8460883ffffffff,2.0,0.0,0.0,0.0
8460885ffffffff,191.0,0.0,0.0,0.0
8460887ffffffff,124.0,0.0,0.0,0.0
8460889ffffffff,20.0,0.0,0.0,0.0
846088bffffffff,9.0,0.0,0.0,0.0
846088dffffffff,64.0,0.0,0.0,0.0
846089dffffffff,1.0,0.0,0.0,0.0
84608a1ffffffff,5.0,0.0,0.0,0.0
84608a3ffffffff,24.0,0.0,0.0,0.0
84608a5ffffffff,2.0,0.0,0.0,0.0
84608abffffffff,18.0,0.0,0.0,0.0
84608b1ffffffff,9.0,0.0,0.0,0.0
84608b5ffffffff,1157.0,0.0,0.0,0.0
84608b9ffffffff,65.0,0.0,0.0,0.0
84608bdffffffff,327.0,0.0,0.0,0.0
84608c1ffffffff,4.0,0.0,0.0,0.0
84608c3ffffffff,9.0,0.0,0.0,0.0
84608cbffffffff,1.0,0.0,0.0,0.0
84608cdffffffff,2.0,0.0,0.0,0.0
84608d1ffffffff,19.0,0.0,0.0,0.0
84608d5ffffffff,9.0,0.0,0.0,0.0
84608d7ffffffff,44.0,0.0,0.0,0.0
84608ddffffffff,25.0,0.0,0.0,0.0
84608e1ffffffff,3.0,0.0,0.0,0.0
84608e3ffffffff,5.0,0.0,0.0,0.0
84608e5ffffffff,27.0,0.0,0.0,0.0
84608e9ffffffff,7.0,0.0,0.0,0.0
84608ebffffffff,5.0,0.0,0.0,0.0
8460901ffffffff,5.0,0.0,0.0,0.0
8460913ffffffff,3.0,0.0,0.0,0.0
8460917ffffffff,2.0,0.0,0.0,0.0
8460921ffffffff,9.0,0.0,0.0,0.0
8460923ffffffff,1.0,0.0,0.0,0.0
8460925ffffffff,325.0,0.0,0.0,0.0
8460927ffffffff,72.0,0.0,0.0,0.0
8460931ffffffff,8.0,0.0,0.0,0.0
8460937ffffffff,1.0,0.0,0.0,0.0
8460939ffffffff,7.0,0.0,0.0,0.0
846093bffffffff,4.0,0.0,0.0,0.0
846093dffffffff,5.0,0.0,0.0,0.0
846094bffffffff,4.0,0.0,0.0,0.0
846094dffffffff,1.0,0.0,0.0,0.0
8460953ffffffff,1.0,0.0,0.0,0.0
8460959ffffffff,4.0,0.0,0.0,0.0
8460961ffffffff,57.0,0.0,0.0,0.0
8460965ffffffff,110.0,0.0,0.0,0.0
8460969ffffffff,4.0,0.0,0.0,0.0
846096bffffffff,5.0,0.0,0.0,0.0
846096dffffffff,17.0,0.0,0.0,0.0
8460985ffffffff,3.0,0.0,0.0,0.0
8460991ffffffff,2.0,0.0,0.0,0.0
8460997ffffffff,5.0,0.0,0.0,0.0
8460999ffffffff,1.0,0.0,0.0,0.0
846099bffffffff,39.0,0.0,0.0,0.0
84609a9ffffffff,4.0,0.0,0.0,0.0
84609b3ffffffff,4.0,0.0,0.0,0.0
84609b5ffffffff,2.0,0.0,0.0,0.0
84609b7ffffffff,18.0,0.0,0.0,0.0
84609c7ffffffff,7.0,0.0,0.0,0.0
84609dbffffffff,2.0,0.0,0.0,0.0
84609ddffffffff,1.0,0.0,0.0,0.0
84609e1ffffffff,2.0,0.0,0.0,0.0
84609e3ffffffff,4.0,0.0,0.0,0.0
