cell_id,Microspingus torquatus,Microspingus torquatus torquatus,Microspingus torquatus pectoralis
848b201ffffffff,82.0,2.0,3.0
848b203ffffffff,110.0,1.0,2.0
848b205ffffffff,7.0,1.0,0.0
848b207ffffffff,3.0,0.0,0.0
848b20bffffffff,173.0,15.0,0.0
848b20dffffffff,18.0,0.0,0.0
848b211ffffffff,16.0,0.0,0.0
848b219ffffffff,1.0,0.0,0.0
848b21bffffffff,1.0,0.0,0.0
848b21dffffffff,19.0,2.0,0.0
848b241ffffffff,12.0,0.0,0.0
848b247ffffffff,6.0,0.0,0.0
848b24bffffffff,1.0,0.0,0.0
848b251ffffffff,25.0,5.0,0.0
848b257ffffffff,3.0,0.0,0.0
848b259ffffffff,38.0,2.0,0.0
848b25dffffffff,16.0,2.0,0.0
848b2c9ffffffff,205.0,8.0,0.0
848b2cbffffffff,1.0,1.0,0.0
848b2cdffffffff,5.0,0.0,0.0
848b2d9ffffffff,5.0,0.0,0.0
848b2ddffffffff,1.0,0.0,0.0
84a865bffffffff,28.0,0.0,0.0
84a86d3ffffffff,2.0,0.0,0.0
84a9497ffffffff,1.0,0.0,0.0
84a9699ffffffff,1.0,0.0,0.0
84a969bffffffff,1.0,0.0,0.0
84b2091ffffffff,1.0,0.0,0.0
84b209bffffffff,7.0,0.0,0.0
84b20b3ffffffff,3.0,0.0,0.0
84b20bbffffffff,2.0,0.0,0.0
84b20d9ffffffff,2.0,0.0,0.0
84b22d9ffffffff,5.0,0.0,0.0
84b2401ffffffff,4.0,0.0,0.0
84b2405ffffffff,12.0,0.0,0.0
84b2407ffffffff,3.0,0.0,0.0
84b2409ffffffff,4.0,0.0,0.0
84b240bffffffff,1.0,0.0,0.0
84b2411ffffffff,4.0,0.0,0.0
84b2413ffffffff,140.0,0.0,0.0
84b2417ffffffff,2.0,0.0,0.0
84b2419ffffffff,14.0,0.0,0.0
84b2421ffffffff,6.0,0.0,0.0
84b2425ffffffff,6.0,0.0,0.0
84b242bffffffff,19.0,0.0,0.0
84b2431ffffffff,1.0,0.0,0.0
84b2435ffffffff,43.0,0.0,0.0
84b2437ffffffff,19.0,0.0,0.0
84b2439ffffffff,5.0,0.0,0.0
84b243dffffffff,10.0,0.0,0.0
84b2441ffffffff,2.0,0.0,0.0
84b2443ffffffff,2.0,0.0,0.0
84b2447ffffffff,2.0,0.0,0.0
84b244dffffffff,4.0,0.0,0.0
84b2453ffffffff,12.0,0.0,0.0
84b2455ffffffff,4.0,0.0,0.0
84b2457ffffffff,11.0,0.0,0.0
84b2459ffffffff,1.0,0.0,0.0
