cell_id,Cossyphicula roberti,Cossyphicula roberti roberti,Cossyphicula roberti rufescentior
8458d11ffffffff,1.0,0.0,0.0
8458d13ffffffff,1.0,0.0,0.0
8458d33ffffffff,40.0,37.0,0.0
8458d37ffffffff,1.0,1.0,0.0
8458de5ffffffff,3.0,3.0,0.0
846ac3dffffffff,9.0,0.0,0.0
846ad89ffffffff,1.0,0.0,0.0
846adc1ffffffff,237.0,0.0,0.0
846adc7ffffffff,2.0,0.0,0.0
846adc9ffffffff,2.0,0.0,0.0
846ade7ffffffff,58.0,0.0,0.0
847a483ffffffff,1.0,0.0,0.0
8482d03ffffffff,2.0,0.0,0.0
8482d1dffffffff,39.0,19.0,0.0
8482d27ffffffff,7.0,0.0,0.0
8482d3dffffffff,11.0,3.0,0.0
8496d21ffffffff,3.0,0.0,0.0
