cell_id,Psittacus erithacus,Psittacus erithacus erithacus,Psittacus erithacus princeps
832a10fffffffff,1.0,0.0,0.0
832db0fffffffff,1.0,0.0,0.0
833905fffffffff,1.0,0.0,0.0
833923fffffffff,1.0,0.0,0.0
833933fffffffff,2.0,0.0,0.0
833954fffffffff,2.0,0.0,0.0
83396cfffffffff,2.0,0.0,0.0
83411cfffffffff,8.0,0.0,0.0
8343aefffffffff,1.0,0.0,0.0
834ba0fffffffff,12.0,0.0,0.0
834ceefffffffff,1.0,0.0,0.0
8358d3fffffffff,1.0,0.0,0.0
836520fffffffff,2.0,0.0,0.0
836526fffffffff,12.0,0.0,0.0
837a4cfffffffff,1.0,1.0,0.0
837a65fffffffff,3.0,0.0,0.0
