cell_id,Actinodura ramsayi,Actinodura ramsayi radcliffei/yunnanensis,Actinodura ramsayi ramsayi
826487fffffffff,1.0,0.0,0.0
826497fffffffff,12.0,0.0,0.0
82649ffffffffff,4.0,0.0,0.0
