cell_id,Aulacorhynchus sulcatus,Aulacorhynchus sulcatus calorhynchus,Aulacorhynchus sulcatus sulcatus/erythrognathus
835f48fffffffff,7.0,0.0,1.0
835f4afffffffff,50.0,0.0,1.0
835f4bfffffffff,65.0,0.0,2.0
835f59fffffffff,1.0,0.0,1.0
83660dfffffffff,22.0,6.0,0.0
836620fffffffff,1151.0,342.0,0.0
836621fffffffff,66.0,0.0,0.0
836622fffffffff,4.0,0.0,0.0
836623fffffffff,10.0,6.0,0.0
836629fffffffff,44.0,25.0,0.0
83662bfffffffff,12.0,1.0,0.0
83662dfffffffff,2.0,2.0,0.0
83662efffffffff,6.0,0.0,0.0
836741fffffffff,515.0,0.0,12.0
836742fffffffff,15.0,0.0,0.0
836743fffffffff,475.0,3.0,11.0
83674cfffffffff,224.0,0.0,0.0
83674efffffffff,347.0,2.0,6.0
836751fffffffff,52.0,0.0,0.0
836755fffffffff,3.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
83675afffffffff,10.0,3.0,0.0
83675cfffffffff,105.0,1.0,0.0
83675dfffffffff,2.0,0.0,0.0
83675efffffffff,43.0,7.0,0.0
