cell_id,Eudyptes chrysocome,Eudyptes chrysocome chrysocome,Eudyptes chrysocome filholi
83ca81fffffffff,1.0,0.0,0.0
83cf32fffffffff,4.0,0.0,0.0
83cf94fffffffff,28.0,0.0,0.0
83cfa0fffffffff,3.0,0.0,0.0
83cfa2fffffffff,1.0,0.0,0.0
83cfa4fffffffff,32.0,0.0,0.0
83cfb1fffffffff,1.0,0.0,0.0
83cfb3fffffffff,1.0,0.0,0.0
83d6a9fffffffff,3.0,0.0,2.0
83da00fffffffff,12.0,0.0,0.0
83da06fffffffff,1.0,0.0,0.0
83da18fffffffff,17.0,0.0,0.0
83da73fffffffff,54.0,0.0,29.0
83db85fffffffff,22.0,0.0,0.0
83de0afffffffff,5.0,0.0,0.0
83de19fffffffff,2.0,2.0,0.0
83de2efffffffff,4.0,0.0,0.0
83de62fffffffff,238.0,30.0,0.0
83de63fffffffff,2.0,0.0,0.0
83de66fffffffff,67.0,0.0,0.0
83de70fffffffff,70.0,2.0,0.0
83de71fffffffff,20.0,0.0,0.0
83de74fffffffff,69.0,0.0,0.0
83de75fffffffff,35.0,2.0,0.0
83de76fffffffff,4.0,0.0,0.0
83df09fffffffff,1.0,0.0,0.0
83df0bfffffffff,2.0,0.0,0.0
83df0dfffffffff,3.0,0.0,0.0
83df2bfffffffff,2.0,0.0,0.0
83df40fffffffff,5.0,0.0,0.0
83df41fffffffff,1.0,0.0,0.0
83df42fffffffff,10.0,0.0,0.0
83df43fffffffff,2.0,0.0,0.0
83df44fffffffff,10.0,0.0,0.0
83df45fffffffff,3.0,0.0,0.0
83df46fffffffff,4.0,0.0,0.0
83df4dfffffffff,2.0,0.0,0.0
83df59fffffffff,2.0,0.0,0.0
83df5bfffffffff,10.0,0.0,0.0
83df5dfffffffff,3.0,0.0,0.0
83df62fffffffff,2.0,0.0,0.0
83df69fffffffff,8.0,0.0,0.0
83df6afffffffff,2.0,0.0,0.0
83df6dfffffffff,1.0,0.0,0.0
83df70fffffffff,2.0,0.0,0.0
83df71fffffffff,5.0,0.0,0.0
83df73fffffffff,7.0,0.0,0.0
83df76fffffffff,1.0,0.0,0.0
83e093fffffffff,7.0,0.0,2.0
