cell_id,Contopus pertinax,Contopus pertinax pertinax,Contopus pertinax minor
8229b7fffffffff,128.0,0.0,0.0
824527fffffffff,954.0,0.0,0.0
82452ffffffffff,115.0,0.0,0.0
824537fffffffff,162.0,0.0,0.0
824807fffffffff,55.0,3.0,0.0
82480ffffffffff,775.0,0.0,0.0
824817fffffffff,714.0,13.0,0.0
82481ffffffffff,101.0,0.0,0.0
824837fffffffff,2217.0,107.0,0.0
824857fffffffff,2.0,0.0,0.0
824887fffffffff,5.0,0.0,0.0
8248a7fffffffff,414.0,0.0,0.0
8248c7fffffffff,2485.0,0.0,0.0
8248cffffffffff,44.0,0.0,0.0
8248e7fffffffff,297.0,4.0,0.0
8248effffffffff,6145.0,0.0,0.0
824987fffffffff,2084.0,333.0,0.0
82498ffffffffff,96.0,2.0,0.0
824997fffffffff,7423.0,902.0,0.0
82499ffffffffff,668.0,47.0,0.0
8249a7fffffffff,9.0,0.0,0.0
8249affffffffff,3417.0,242.0,0.0
8249b7fffffffff,847.0,31.0,0.0
826d07fffffffff,59.0,0.0,0.0
826d17fffffffff,357.0,44.0,0.0
826d27fffffffff,1106.0,0.0,0.0
826d2ffffffffff,8485.0,10.0,0.0
826d37fffffffff,1997.0,256.0,0.0
826d67fffffffff,1937.0,0.0,25.0
826d77fffffffff,23.0,0.0,0.0
