cell_id,Camaroptera brachyura,Camaroptera brachyura [brevicaudata Group],Camaroptera brachyura [brachyura Group]
835280fffffffff,2.0,0.0,0.0
835281fffffffff,2.0,0.0,0.0
835283fffffffff,6.0,5.0,0.0
835285fffffffff,2.0,0.0,0.0
835286fffffffff,8.0,0.0,0.0
83528efffffffff,2.0,0.0,0.0
835291fffffffff,5.0,3.0,0.0
835298fffffffff,47.0,20.0,0.0
83529bfffffffff,88.0,46.0,0.0
8352b1fffffffff,1.0,0.0,0.0
8352cafffffffff,2.0,0.0,0.0
8352dcfffffffff,2.0,0.0,0.0
835402fffffffff,2.0,2.0,0.0
835408fffffffff,9.0,0.0,0.0
83540bfffffffff,7.0,2.0,0.0
835410fffffffff,38.0,22.0,0.0
835411fffffffff,27.0,8.0,0.0
835413fffffffff,30.0,15.0,0.0
835414fffffffff,2.0,2.0,0.0
835415fffffffff,3.0,3.0,0.0
835418fffffffff,7.0,0.0,0.0
835419fffffffff,6.0,1.0,0.0
83541afffffffff,177.0,115.0,0.0
83541bfffffffff,65.0,39.0,0.0
83541efffffffff,6.0,2.0,0.0
835440fffffffff,36.0,7.0,0.0
835444fffffffff,2.0,0.0,0.0
8354a9fffffffff,397.0,202.0,0.0
8354acfffffffff,46.0,28.0,0.0
8354adfffffffff,110.0,45.0,0.0
8354c4fffffffff,2.0,2.0,0.0
8354c5fffffffff,1.0,0.0,0.0
8354e0fffffffff,2.0,0.0,0.0
8354e1fffffffff,3.0,3.0,0.0
8354e2fffffffff,19.0,0.0,0.0
8354e3fffffffff,2.0,2.0,0.0
8354e4fffffffff,123.0,65.0,0.0
8354e5fffffffff,77.0,44.0,0.0
8354e6fffffffff,4.0,4.0,0.0
8354e8fffffffff,15.0,0.0,0.0
8354eafffffffff,5.0,1.0,0.0
8354ecfffffffff,2.0,2.0,0.0
8354eefffffffff,8.0,8.0,0.0
8354f1fffffffff,12.0,0.0,0.0
8354f4fffffffff,57.0,34.0,0.0
8354f5fffffffff,20.0,0.0,0.0
8354f6fffffffff,9.0,3.0,0.0
83580bfffffffff,2.0,0.0,0.0
835851fffffffff,8.0,4.0,0.0
835858fffffffff,4.0,3.0,0.0
83585dfffffffff,1.0,1.0,0.0
835883fffffffff,2.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0
83588dfffffffff,2.0,0.0,0.0
835890fffffffff,27.0,6.0,0.0
835894fffffffff,13.0,6.0,0.0
835896fffffffff,35.0,22.0,0.0
8358a4fffffffff,5.0,4.0,0.0
8358a6fffffffff,9.0,1.0,0.0
8358b3fffffffff,2.0,0.0,0.0
8358b5fffffffff,10.0,4.0,0.0
8358c3fffffffff,2.0,2.0,0.0
8358c4fffffffff,7.0,0.0,0.0
8358c6fffffffff,2.0,0.0,0.0
8358c8fffffffff,2.0,1.0,0.0
8358cdfffffffff,1.0,1.0,0.0
8358d1fffffffff,5.0,2.0,0.0
8358d2fffffffff,3.0,3.0,0.0
8358d3fffffffff,9.0,9.0,0.0
8358dbfffffffff,6.0,0.0,0.0
8358defffffffff,5.0,3.0,0.0
8358e2fffffffff,70.0,57.0,0.0
8358e4fffffffff,2.0,0.0,0.0
8358e6fffffffff,37.0,6.0,0.0
8358eafffffffff,2.0,2.0,0.0
8358f1fffffffff,1.0,1.0,0.0
8358f5fffffffff,50.0,41.0,0.0
8358f6fffffffff,2.0,2.0,0.0
835982fffffffff,11.0,3.0,0.0
83598dfffffffff,1.0,0.0,0.0
835991fffffffff,12.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0
835998fffffffff,20.0,16.0,0.0
83599afffffffff,1.0,1.0,0.0
83599efffffffff,21.0,16.0,0.0
