cell_id,Saxicola torquatus,Saxicola torquatus [torquatus Group],Saxicola torquatus albofasciatus,Saxicola torquatus sibilla
825207fffffffff,63.0,4.0,0.0,0.0
825217fffffffff,7.0,2.0,0.0,0.0
82521ffffffffff,1.0,0.0,0.0,0.0
825287fffffffff,4.0,0.0,0.0,0.0
825297fffffffff,4.0,0.0,4.0,0.0
82529ffffffffff,60.0,0.0,19.0,0.0
8252d7fffffffff,2.0,0.0,0.0,0.0
825417fffffffff,92.0,44.0,0.0,0.0
8258dffffffffff,11.0,4.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0,0.0
826ac7fffffffff,65.0,17.0,0.0,0.0
826acffffffffff,36.0,9.0,0.0,0.0
826adffffffffff,896.0,118.0,0.0,0.0
826aeffffffffff,5.0,0.0,0.0,0.0
827a47fffffffff,169.0,49.0,0.0,0.0
827a4ffffffffff,141.0,18.0,0.0,0.0
827a67fffffffff,88.0,31.0,0.0,0.0
827a6ffffffffff,427.0,89.0,0.0,0.0
827ac7fffffffff,3.0,0.0,2.0,0.0
827acffffffffff,151.0,0.0,67.0,0.0
827adffffffffff,5.0,0.0,3.0,0.0
827aeffffffffff,6.0,0.0,3.0,0.0
827b4ffffffffff,144.0,34.0,0.0,0.0
82821ffffffffff,8.0,0.0,0.0,0.0
8282a7fffffffff,6.0,2.0,0.0,0.0
8282affffffffff,2.0,0.0,0.0,0.0
8282d7fffffffff,29.0,11.0,0.0,0.0
8282f7fffffffff,12.0,0.0,0.0,0.0
828317fffffffff,7.0,3.0,0.0,0.0
828327fffffffff,6.0,1.0,0.0,0.0
828337fffffffff,54.0,21.0,0.0,0.0
82838ffffffffff,1.0,1.0,0.0,0.0
8283a7fffffffff,4.0,0.0,0.0,0.0
8283affffffffff,3.0,1.0,0.0,0.0
829607fffffffff,54.0,18.0,0.0,0.0
82960ffffffffff,47.0,19.0,0.0,0.0
829617fffffffff,32.0,11.0,0.0,0.0
82961ffffffffff,5.0,0.0,0.0,0.0
829627fffffffff,7.0,3.0,0.0,0.0
82962ffffffffff,43.0,21.0,0.0,0.0
829647fffffffff,4.0,0.0,0.0,0.0
82964ffffffffff,2.0,0.0,0.0,0.0
829657fffffffff,14.0,5.0,0.0,0.0
829667fffffffff,4.0,0.0,0.0,0.0
82966ffffffffff,2.0,0.0,0.0,0.0
829677fffffffff,10.0,2.0,0.0,0.0
829687fffffffff,2.0,0.0,0.0,0.0
829697fffffffff,625.0,112.0,0.0,0.0
8296a7fffffffff,113.0,10.0,0.0,0.0
8296affffffffff,12.0,6.0,0.0,0.0
8296b7fffffffff,171.0,30.0,0.0,0.0
829707fffffffff,90.0,15.0,0.0,0.0
82970ffffffffff,8.0,5.0,0.0,0.0
829717fffffffff,12.0,8.0,0.0,0.0
82971ffffffffff,188.0,33.0,0.0,0.0
82972ffffffffff,167.0,54.0,0.0,0.0
829737fffffffff,2.0,0.0,0.0,0.0
829747fffffffff,129.0,15.0,0.0,0.0
82974ffffffffff,187.0,57.0,0.0,0.0
829757fffffffff,22.0,4.0,0.0,0.0
82975ffffffffff,242.0,46.0,0.0,0.0
829777fffffffff,1.0,0.0,0.0,0.0
82978ffffffffff,38.0,0.0,0.0,0.0
8297affffffffff,35.0,0.0,0.0,0.0
82a207fffffffff,2.0,0.0,0.0,0.0
82a217fffffffff,174.0,0.0,0.0,130.0
82a227fffffffff,122.0,0.0,0.0,71.0
82a237fffffffff,570.0,0.0,0.0,344.0
82a2a7fffffffff,10.0,0.0,0.0,10.0
82a2affffffffff,2.0,0.0,0.0,1.0
82a30ffffffffff,64.0,0.0,0.0,56.0
82a31ffffffffff,15.0,0.0,0.0,8.0
82a337fffffffff,15.0,0.0,0.0,0.0
82a377fffffffff,18.0,0.0,0.0,11.0
82a38ffffffffff,34.0,0.0,0.0,28.0
82a39ffffffffff,3.0,0.0,0.0,1.0
82a3affffffffff,5.0,0.0,0.0,3.0
82ac97fffffffff,10.0,0.0,0.0,0.0
82ad17fffffffff,10.0,6.0,0.0,0.0
82ad37fffffffff,453.0,197.0,0.0,0.0
82ada7fffffffff,22.0,12.0,0.0,0.0
82adaffffffffff,32.0,9.0,0.0,0.0
82bc0ffffffffff,16.0,2.0,0.0,0.0
82bc1ffffffffff,39.0,3.0,0.0,0.0
82bc47fffffffff,134.0,14.0,0.0,0.0
82bc4ffffffffff,167.0,59.0,0.0,0.0
82bc57fffffffff,41.0,13.0,0.0,0.0
82bc5ffffffffff,4.0,0.0,0.0,0.0
82bc6ffffffffff,598.0,204.0,0.0,0.0
82bc77fffffffff,58.0,13.0,0.0,0.0
82bc8ffffffffff,118.0,54.0,0.0,0.0
82bc9ffffffffff,2.0,0.0,0.0,0.0
82bcc7fffffffff,1477.0,465.0,0.0,0.0
82bccffffffffff,16.0,4.0,0.0,0.0
82bcd7fffffffff,761.0,253.0,0.0,0.0
82bcdffffffffff,248.0,58.0,0.0,0.0
82bce7fffffffff,1245.0,543.0,0.0,0.0
82bceffffffffff,43.0,6.0,0.0,0.0
82bcf7fffffffff,1534.0,617.0,0.0,0.0
