cell_id,Hylopezus perspicillatus,Hylopezus perspicillatus intermedius,Hylopezus perspicillatus lizanoi,Hylopezus perspicillatus perspicillatus,Hylopezus perspicillatus periophthalmicus,Hylopezus perspicillatus pallidior
834530fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
834532fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
834536fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
83660afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836610fffffffff,5.0,0.0,0.0,1.0,0.0,0.0
836611fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
836613fffffffff,130.0,0.0,0.0,34.0,0.0,0.0
836616fffffffff,130.0,0.0,0.0,34.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83661afffffffff,36.0,0.0,0.0,0.0,0.0,0.0
8366a0fffffffff,180.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,1929.0,0.0,0.0,142.0,0.0,0.0
8366b0fffffffff,387.0,0.0,0.0,0.0,0.0,0.0
8366b4fffffffff,213.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,37.0,2.0,0.0,0.0,0.0,0.0
8366d0fffffffff,58.0,0.0,0.0,0.0,8.0,0.0
8366d2fffffffff,10.0,0.0,0.0,0.0,1.0,0.0
8366e4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366f0fffffffff,131.0,0.0,0.0,0.0,1.0,0.0
83679afffffffff,38.0,0.0,0.0,0.0,0.0,0.0
83679bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836d68fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
836d69fffffffff,1826.0,0.0,0.0,0.0,0.0,0.0
836d6dfffffffff,13.0,0.0,0.0,0.0,0.0,0.0
