cell_id,Rissa tridactyla,Rissa tridactyla tridactyla,Rissa tridactyla pollicaris
84002c9ffffffff,1.0,0.0,0.0
84002d7ffffffff,2.0,0.0,0.0
8401509ffffffff,7.0,0.0,0.0
8401515ffffffff,2.0,0.0,0.0
8401517ffffffff,2.0,0.0,0.0
840151dffffffff,2.0,2.0,0.0
84015a1ffffffff,2.0,2.0,0.0
84015a9ffffffff,2.0,0.0,0.0
84015e1ffffffff,24.0,23.0,0.0
84015e3ffffffff,3.0,0.0,0.0
840168bffffffff,1.0,1.0,0.0
84024c1ffffffff,8.0,0.0,0.0
84024c9ffffffff,8.0,0.0,0.0
8402841ffffffff,2.0,0.0,0.0
840284bffffffff,2.0,0.0,0.0
84029cbffffffff,2.0,0.0,0.0
8403825ffffffff,2.0,0.0,0.0
8403827ffffffff,1.0,0.0,0.0
84038e9ffffffff,2.0,0.0,0.0
84039e5ffffffff,1.0,0.0,0.0
8403ab9ffffffff,3.0,0.0,0.0
8406209ffffffff,2.0,0.0,0.0
840626bffffffff,1.0,0.0,0.0
8406893ffffffff,1.0,0.0,0.0
840689bffffffff,5.0,0.0,0.0
8406d1dffffffff,2.0,0.0,0.0
8406d45ffffffff,1.0,0.0,0.0
8406d4dffffffff,1.0,0.0,0.0
8406dc1ffffffff,1.0,0.0,0.0
8406dcdffffffff,1.0,0.0,0.0
840755dffffffff,2.0,0.0,0.0
84075d1ffffffff,3.0,0.0,0.0
8407733ffffffff,1.0,0.0,0.0
840880bffffffff,3.0,0.0,0.0
8408937ffffffff,1.0,0.0,0.0
840898bffffffff,2.0,0.0,0.0
84089bbffffffff,3.0,0.0,0.0
840c02dffffffff,2.0,0.0,0.0
840c147ffffffff,4.0,0.0,0.0
840c421ffffffff,1.0,0.0,0.0
840c425ffffffff,9.0,0.0,2.0
840c427ffffffff,3.0,0.0,0.0
840c42dffffffff,17.0,0.0,2.0
840c461ffffffff,11.0,0.0,0.0
840c501ffffffff,3.0,0.0,0.0
840c503ffffffff,1.0,0.0,0.0
840c50bffffffff,1.0,0.0,0.0
840c511ffffffff,14.0,0.0,0.0
840c515ffffffff,6.0,0.0,0.0
840c51dffffffff,21.0,0.0,0.0
840c53bffffffff,3.0,0.0,0.0
840c54bffffffff,4.0,0.0,0.0
840c5a1ffffffff,9.0,0.0,0.0
840c5a5ffffffff,20.0,0.0,0.0
840c5a7ffffffff,3.0,0.0,0.0
840c5adffffffff,35.0,0.0,2.0
840c5edffffffff,2.0,0.0,0.0
840c733ffffffff,47.0,0.0,0.0
840ca43ffffffff,37.0,0.0,0.0
840cc49ffffffff,4.0,0.0,0.0
840cdd7ffffffff,3.0,0.0,0.0
840ce27ffffffff,1.0,0.0,0.0
840d039ffffffff,234.0,0.0,1.0
840d26bffffffff,2.0,0.0,0.0
