cell_id,Plocepasser mahali,Plocepasser mahali melanorhynchus,Plocepasser mahali ansorgei,Plocepasser mahali pectoralis,Plocepasser mahali mahali
827a47fffffffff,5.0,2.0,0.0,0.0,0.0
827a4ffffffffff,2.0,2.0,0.0,0.0,0.0
827a67fffffffff,1.0,0.0,0.0,0.0,0.0
827a6ffffffffff,7.0,6.0,0.0,0.0,0.0
827acffffffffff,2.0,2.0,0.0,0.0,0.0
827b6ffffffffff,9.0,0.0,0.0,0.0,0.0
829627fffffffff,1.0,0.0,0.0,0.0,0.0
82971ffffffffff,2.0,0.0,0.0,0.0,0.0
82974ffffffffff,3.0,0.0,1.0,0.0,2.0
829757fffffffff,1.0,0.0,0.0,0.0,0.0
829787fffffffff,2.0,0.0,0.0,2.0,0.0
82ac87fffffffff,4.0,0.0,4.0,0.0,0.0
82ac97fffffffff,2.0,0.0,2.0,0.0,0.0
82aca7fffffffff,3.0,0.0,3.0,0.0,0.0
82acb7fffffffff,1.0,0.0,1.0,0.0,0.0
82bc47fffffffff,1.0,0.0,0.0,0.0,0.0
82bcdffffffffff,3.0,0.0,0.0,0.0,0.0
82bcf7fffffffff,1.0,0.0,0.0,0.0,0.0
