cell_id,Emberiza cioides,Emberiza cioides [cioides Group],Emberiza cioides ciopsis
821947fffffffff,1.0,0.0,0.0
8220f7fffffffff,6.0,0.0,0.0
82242ffffffffff,5.0,0.0,0.0
822467fffffffff,4.0,0.0,0.0
822517fffffffff,15.0,12.0,0.0
82255ffffffffff,13.0,0.0,0.0
822f5ffffffffff,1.0,0.0,1.0
82309ffffffffff,17.0,0.0,0.0
823127fffffffff,7.0,0.0,0.0
823137fffffffff,2.0,0.0,0.0
8231affffffffff,2.0,0.0,0.0
824197fffffffff,1.0,0.0,0.0
8241b7fffffffff,1.0,0.0,0.0
824b77fffffffff,3.0,0.0,0.0
824bb7fffffffff,1.0,0.0,0.0
