cell_id,Myiagra eichhorni,Myiagra eichhorni eichhorni,Myiagra eichhorni cervinicolor
8376b4fffffffff,1.0,0.0,0.0
837798fffffffff,3.0,0.0,0.0
83779afffffffff,5.0,0.0,0.0
839c90fffffffff,86.0,0.0,0.0
839c96fffffffff,3.0,0.0,0.0
