cell_id,Systellura longirostris,Systellura longirostris roraimae,Systellura longirostris ruficervix,Systellura longirostris atripunctata,Systellura longirostris bifasciata/patagonica,Systellura longirostris longirostris,Systellura longirostris mochaensis
84661b9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c21ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d31ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de5ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84674c5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84674e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848011bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8481885ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848a233ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
848b617ffffffff,6.0,0.0,0.0,6.0,0.0,0.0,0.0
848e63dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848e663ffffffff,14.0,0.0,0.0,11.0,0.0,0.0,0.0
848e6cdffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
848f597ffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
84a88ebffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
84a96adffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2099ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84b21d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2425ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2437ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b24d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b24d5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84b24dbffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84b251bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84b256bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b25cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b25cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b25e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2693ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b26bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b26d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2705ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84b270bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b270dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b274dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2c41ffffffff,5.0,0.0,0.0,0.0,4.0,0.0,0.0
84b2c43ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2c4bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2c51ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2c53ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2c59ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2ce5ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
84b2e29ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84b2e35ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b3055ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b305dffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
84b3493ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b34d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b34d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84b35a1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b35a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b3731ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2c17ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2c19ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2c53ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2c5bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2ccdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2d85ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
