cell_id,Setophaga petechia,Setophaga petechia [aestiva Group],Setophaga petechia [erithachorides Group],Setophaga petechia aureola,Setophaga petechia [petechia Group],Setophaga petechia [erithachorides Group x petechia Group]
820c07fffffffff,178.0,0.0,0.0,0.0,0.0,0.0
820c0ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
820c17fffffffff,4818.0,0.0,0.0,0.0,0.0,0.0
820c1ffffffffff,190.0,5.0,0.0,0.0,0.0,0.0
820c27fffffffff,54.0,0.0,0.0,0.0,0.0,0.0
820c2ffffffffff,107.0,8.0,0.0,0.0,0.0,0.0
820c37fffffffff,224.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,1438.0,2.0,0.0,0.0,0.0,0.0
820c57fffffffff,260.0,0.0,0.0,0.0,0.0,0.0
820c5ffffffffff,327.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,447.0,47.0,0.0,0.0,0.0,0.0
820c6ffffffffff,28.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,2118.0,226.0,0.0,0.0,0.0,0.0
820ca7fffffffff,58.0,0.0,0.0,0.0,0.0,0.0
820ccffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
820cdffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
820ce7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,36.0,0.0,0.0,0.0,0.0,0.0
820cf7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820d0ffffffffff,43.0,0.0,0.0,0.0,0.0,0.0
820d1ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
820d47fffffffff,94.0,0.0,0.0,0.0,0.0,0.0
820d4ffffffffff,272.0,1.0,0.0,0.0,0.0,0.0
820d57fffffffff,172.0,2.0,0.0,0.0,0.0,0.0
820d5ffffffffff,988.0,85.0,0.0,0.0,0.0,0.0
820d67fffffffff,273.0,0.0,0.0,0.0,0.0,0.0
820d6ffffffffff,65.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,71.0,0.0,0.0,0.0,0.0,0.0
820d8ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820e0ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820e47fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,733.0,0.0,0.0,0.0,0.0,0.0
820e57fffffffff,36.0,0.0,0.0,0.0,0.0,0.0
820e5ffffffffff,36.0,0.0,0.0,0.0,0.0,0.0
820e67fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,66.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,2316.0,0.0,0.0,0.0,0.0,0.0
820e8ffffffffff,60.0,0.0,0.0,0.0,0.0,0.0
820e97fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
820e9ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,190.0,2.0,0.0,0.0,0.0,0.0
820ecffffffffff,689.0,13.0,0.0,0.0,0.0,0.0
820ed7fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,31.0,0.0,0.0,0.0,0.0,0.0
820ee7fffffffff,34.0,1.0,0.0,0.0,0.0,0.0
820eeffffffffff,1971.0,0.0,0.0,0.0,0.0,0.0
820ef7fffffffff,99.0,25.0,0.0,0.0,0.0,0.0
820f5ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820f9ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82120ffffffffff,28.0,0.0,0.0,0.0,0.0,0.0
821217fffffffff,59.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,1153.0,9.0,0.0,0.0,0.0,0.0
821227fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,52.0,0.0,0.0,0.0,0.0,0.0
821247fffffffff,41.0,1.0,0.0,0.0,0.0,0.0
82124ffffffffff,176.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,1599.0,103.0,0.0,0.0,0.0,0.0
82125ffffffffff,1487.0,10.0,0.0,0.0,0.0,0.0
821267fffffffff,36.0,0.0,0.0,0.0,0.0,0.0
82126ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,444.0,13.0,0.0,0.0,0.0,0.0
821287fffffffff,414.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,1143.0,2.0,0.0,0.0,0.0,0.0
821297fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,61.0,2.0,0.0,0.0,0.0,0.0
8212a7fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,594.0,17.0,0.0,0.0,0.0,0.0
8212b7fffffffff,580.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,3234.0,49.0,0.0,0.0,0.0,0.0
8212cffffffffff,12061.0,264.0,0.0,0.0,0.0,0.0
8212d7fffffffff,3753.0,145.0,0.0,0.0,0.0,0.0
8212dffffffffff,9975.0,164.0,0.0,0.0,0.0,0.0
8212e7fffffffff,647.0,2.0,0.0,0.0,0.0,0.0
8212effffffffff,5126.0,139.0,0.0,0.0,0.0,0.0
8212f7fffffffff,490.0,10.0,0.0,0.0,0.0,0.0
821307fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
821317fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82132ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0
821337fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,359.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,2147.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,618.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,289.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,889.0,0.0,0.0,0.0,0.0,0.0
8213a7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8213affffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,96.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,2752.0,250.0,0.0,0.0,0.0,0.0
821ab7fffffffff,83.0,2.0,0.0,0.0,0.0,0.0
821b87fffffffff,144.0,5.0,0.0,0.0,0.0,0.0
821b8ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
821b97fffffffff,59.0,1.0,0.0,0.0,0.0,0.0
821b9ffffffffff,980.0,27.0,0.0,0.0,0.0,0.0
821bb7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,36.0,0.0,0.0,0.0,0.0,0.0
8222d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8222dffffffffff,118.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,1985.0,180.0,0.0,0.0,0.0,0.0
82260ffffffffff,3648.0,165.0,0.0,0.0,0.0,0.0
