cell_id,Bubo capensis,Bubo capensis dillonii/mackinderi,Bubo capensis capensis
845280dffffffff,1.0,0.0,0.0
8452953ffffffff,2.0,0.0,0.0
8452991ffffffff,6.0,1.0,0.0
84529b3ffffffff,1.0,1.0,0.0
84529b9ffffffff,8.0,4.0,0.0
84529bbffffffff,1.0,0.0,0.0
847a40bffffffff,4.0,2.0,0.0
847a419ffffffff,5.0,0.0,0.0
847a41bffffffff,3.0,0.0,0.0
847a41dffffffff,2.0,0.0,0.0
847a451ffffffff,1.0,0.0,0.0
847a453ffffffff,111.0,49.0,0.0
847a455ffffffff,1.0,0.0,0.0
847a457ffffffff,5.0,2.0,0.0
847a6a1ffffffff,10.0,0.0,0.0
847a6adffffffff,2.0,0.0,0.0
847a6dbffffffff,1.0,0.0,0.0
847a6e7ffffffff,1.0,0.0,0.0
847ac83ffffffff,1.0,0.0,0.0
847aca3ffffffff,1.0,0.0,0.0
847acc5ffffffff,112.0,29.0,0.0
847acc7ffffffff,1.0,1.0,0.0
847acd7ffffffff,2.0,0.0,0.0
847ace9ffffffff,4.0,0.0,0.0
847ae9bffffffff,1.0,0.0,0.0
8496a05ffffffff,1.0,0.0,0.0
8496b19ffffffff,2.0,0.0,0.0
8496b1bffffffff,2.0,0.0,0.0
849702bffffffff,2.0,0.0,0.0
84ac365ffffffff,1.0,0.0,0.0
84ad8b5ffffffff,2.0,0.0,0.0
84ad8b9ffffffff,4.0,0.0,0.0
84adab7ffffffff,1.0,0.0,0.0
84adae3ffffffff,2.0,0.0,0.0
84adae7ffffffff,2.0,0.0,0.0
84bc549ffffffff,5.0,0.0,5.0
84bcc49ffffffff,1.0,0.0,1.0
84bcc4bffffffff,2.0,0.0,2.0
84bce5bffffffff,1.0,0.0,1.0
84bcf53ffffffff,1.0,0.0,1.0
