cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
821267fffffffff,4.0,0.0,0.0,0.0
82126ffffffffff,4.0,0.0,0.0,0.0
821277fffffffff,388.0,0.0,56.0,0.0
821287fffffffff,279.0,0.0,6.0,0.0
82128ffffffffff,844.0,0.0,133.0,0.0
821297fffffffff,117.0,2.0,12.0,0.0
82129ffffffffff,139.0,0.0,13.0,0.0
8212a7fffffffff,10.0,0.0,0.0,0.0
8212affffffffff,932.0,0.0,18.0,0.0
8212b7fffffffff,391.0,0.0,13.0,0.0
8212c7fffffffff,2168.0,0.0,68.0,0.0
8212cffffffffff,7311.0,0.0,438.0,0.0
8212d7fffffffff,3388.0,0.0,233.0,0.0
8212dffffffffff,4725.0,0.0,209.0,0.0
8212e7fffffffff,529.0,0.0,21.0,0.0
8212effffffffff,4646.0,0.0,192.0,0.0
8212f7fffffffff,596.0,0.0,7.0,0.0
821307fffffffff,18.0,0.0,0.0,0.0
821327fffffffff,2.0,0.0,2.0,0.0
82132ffffffffff,7.0,0.0,0.0,0.0
821347fffffffff,3.0,0.0,0.0,0.0
821357fffffffff,281.0,0.0,29.0,0.0
821387fffffffff,2009.0,0.0,1268.0,0.0
82138ffffffffff,278.0,0.0,134.0,0.0
821397fffffffff,267.0,0.0,35.0,0.0
82139ffffffffff,585.0,0.0,0.0,0.0
8213a7fffffffff,34.0,0.0,24.0,0.0
8213affffffffff,20.0,0.0,0.0,0.0
8213b7fffffffff,332.0,0.0,194.0,0.0
8214affffffffff,75.0,45.0,0.0,0.0
8214b7fffffffff,1.0,0.0,0.0,0.0
8214cffffffffff,1.0,0.0,0.0,0.0
821587fffffffff,2.0,0.0,0.0,0.0
821597fffffffff,68.0,5.0,0.0,0.0
82159ffffffffff,8.0,6.0,0.0,0.0
8215b7fffffffff,30.0,0.0,0.0,0.0
821617fffffffff,9.0,7.0,0.0,0.0
821637fffffffff,2.0,2.0,0.0,0.0
821657fffffffff,378.0,308.0,0.0,0.0
82165ffffffffff,74.0,54.0,0.0,0.0
821717fffffffff,2.0,2.0,0.0,0.0
82171ffffffffff,30.0,0.0,0.0,0.0
82176ffffffffff,13.0,13.0,0.0,0.0
82178ffffffffff,30.0,29.0,0.0,0.0
821807fffffffff,84.0,56.0,0.0,0.0
82180ffffffffff,20.0,4.0,0.0,0.0
821827fffffffff,202.0,189.0,0.0,0.0
82182ffffffffff,1227.0,976.0,0.0,0.0
821847fffffffff,92.0,23.0,0.0,0.0
82184ffffffffff,5225.0,198.0,0.0,0.0
82185ffffffffff,250.0,12.0,0.0,0.0
821867fffffffff,170.0,57.0,0.0,0.0
82186ffffffffff,258.0,11.0,0.0,0.0
821877fffffffff,359.0,251.0,0.0,0.0
821907fffffffff,6.0,6.0,0.0,0.0
82190ffffffffff,411.0,259.0,0.0,0.0
821927fffffffff,12.0,7.0,0.0,0.0
82192ffffffffff,503.0,382.0,0.0,0.0
821947fffffffff,8309.0,5619.0,0.0,0.0
82194ffffffffff,6449.0,3709.0,0.0,0.0
821957fffffffff,1923.0,1493.0,0.0,0.0
82195ffffffffff,4321.0,2313.0,0.0,0.0
82196ffffffffff,2207.0,588.0,0.0,0.0
821977fffffffff,1411.0,648.0,0.0,0.0
821aa7fffffffff,1050.0,0.0,230.0,0.0
821ab7fffffffff,28.0,0.0,0.0,0.0
821b87fffffffff,57.0,0.0,10.0,0.0
821b97fffffffff,34.0,0.0,0.0,0.0
821b9ffffffffff,281.0,0.0,46.0,0.0
821bb7fffffffff,20.0,0.0,3.0,0.0
821d27fffffffff,38.0,0.0,0.0,0.0
821e07fffffffff,2038.0,294.0,0.0,0.0
821e0ffffffffff,1312.0,55.0,0.0,0.0
821e17fffffffff,714.0,128.0,0.0,0.0
821e1ffffffffff,1067.0,70.0,0.0,0.0
821e27fffffffff,640.0,97.0,0.0,0.0
821e2ffffffffff,279.0,17.0,0.0,0.0
