cell_id,Gypaetus barbatus,Gypaetus barbatus barbatus,Gypaetus barbatus meridionalis
831849fffffffff,198.0,6.0,0.0
83184bfffffffff,6.0,0.0,0.0
831859fffffffff,25.0,0.0,0.0
83185bfffffffff,4.0,0.0,0.0
831e16fffffffff,18.0,0.0,0.0
831eb0fffffffff,26.0,6.0,0.0
831eb2fffffffff,5.0,0.0,0.0
831f89fffffffff,6.0,0.0,0.0
831f8afffffffff,50.0,0.0,0.0
831f8bfffffffff,2.0,0.0,0.0
831f91fffffffff,2.0,0.0,0.0
831f92fffffffff,2.0,0.0,0.0
831f93fffffffff,6.0,0.0,0.0
831f98fffffffff,6.0,0.0,0.0
831f9afffffffff,10.0,0.0,0.0
831f9cfffffffff,147.0,26.0,0.0
831f9dfffffffff,8.0,0.0,0.0
831f9efffffffff,56.0,7.0,0.0
832012fffffffff,5.0,0.0,0.0
832013fffffffff,8.0,0.0,0.0
83201afffffffff,14.0,0.0,0.0
83201bfffffffff,7.0,0.0,0.0
832048fffffffff,2.0,0.0,0.0
832049fffffffff,2.0,0.0,0.0
83204bfffffffff,3.0,0.0,0.0
83204dfffffffff,2.0,0.0,0.0
832080fffffffff,12.0,0.0,0.0
832083fffffffff,2.0,0.0,0.0
832084fffffffff,9.0,0.0,0.0
832088fffffffff,2.0,0.0,0.0
83208afffffffff,10.0,0.0,0.0
83208dfffffffff,2.0,0.0,0.0
83208efffffffff,6.0,0.0,0.0
832098fffffffff,3.0,0.0,0.0
832099fffffffff,15.0,0.0,0.0
83209bfffffffff,5.0,0.0,0.0
8320a2fffffffff,9.0,1.0,0.0
8320a6fffffffff,10.0,1.0,0.0
8320a8fffffffff,1.0,0.0,0.0
8320a9fffffffff,6.0,0.0,0.0
8320adfffffffff,13.0,0.0,0.0
8320aefffffffff,1.0,0.0,0.0
8320b1fffffffff,5.0,0.0,0.0
8320c4fffffffff,4.0,0.0,0.0
8320e0fffffffff,2.0,0.0,0.0
8320e2fffffffff,15.0,0.0,0.0
8320e3fffffffff,2.0,0.0,0.0
8320e6fffffffff,46.0,0.0,0.0
8320f1fffffffff,6.0,0.0,0.0
8320f4fffffffff,3.0,0.0,0.0
8320f5fffffffff,4.0,0.0,0.0
832199fffffffff,2.0,0.0,0.0
832400fffffffff,17.0,0.0,0.0
832403fffffffff,2.0,0.0,0.0
832404fffffffff,1.0,0.0,0.0
832405fffffffff,2.0,0.0,0.0
832406fffffffff,1.0,0.0,0.0
83240afffffffff,42.0,0.0,0.0
83240efffffffff,2.0,0.0,0.0
83241cfffffffff,1.0,0.0,0.0
83241dfffffffff,6.0,0.0,0.0
832421fffffffff,1.0,0.0,0.0
832423fffffffff,5.0,0.0,0.0
832424fffffffff,2.0,0.0,0.0
832425fffffffff,12.0,0.0,0.0
832426fffffffff,27.0,0.0,0.0
832428fffffffff,16.0,0.0,0.0
832429fffffffff,2.0,0.0,0.0
83242afffffffff,2.0,0.0,0.0
83242dfffffffff,2.0,0.0,0.0
83242efffffffff,4.0,0.0,0.0
832435fffffffff,7.0,0.0,0.0
832456fffffffff,9.0,0.0,0.0
832463fffffffff,10.0,0.0,0.0
832466fffffffff,2.0,0.0,0.0
832475fffffffff,3.0,0.0,0.0
832476fffffffff,15.0,0.0,0.0
832483fffffffff,9.0,0.0,0.0
832485fffffffff,1.0,0.0,0.0
832488fffffffff,2.0,0.0,0.0
83248afffffffff,2.0,0.0,0.0
83248bfffffffff,3.0,0.0,0.0
83248efffffffff,42.0,0.0,0.0
832492fffffffff,2.0,0.0,0.0
832498fffffffff,9.0,0.0,0.0
832499fffffffff,27.0,0.0,0.0
83249afffffffff,1.0,0.0,0.0
83249cfffffffff,10.0,0.0,0.0
83249dfffffffff,2.0,0.0,0.0
8324c0fffffffff,8.0,0.0,0.0
8324c6fffffffff,2.0,0.0,0.0
83250bfffffffff,2.0,0.0,0.0
