cell_id,Pericrocotus solaris,Pericrocotus solaris [solaris Group],Pericrocotus solaris montanus/cinereigula
82309ffffffffff,3.0,0.0,0.0
823c07fffffffff,4.0,0.0,0.0
823c0ffffffffff,16.0,0.0,0.0
823c1ffffffffff,17.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0
823c5ffffffffff,6.0,0.0,0.0
823ce7fffffffff,47.0,0.0,0.0
823ceffffffffff,5.0,0.0,0.0
824037fffffffff,2.0,0.0,0.0
82404ffffffffff,5.0,5.0,0.0
8240affffffffff,3.0,0.0,0.0
82411ffffffffff,4.0,4.0,0.0
824177fffffffff,3.0,3.0,0.0
824187fffffffff,5.0,5.0,0.0
824197fffffffff,5.0,2.0,0.0
8241a7fffffffff,34.0,0.0,0.0
8241b7fffffffff,7.0,0.0,0.0
824b87fffffffff,6.0,0.0,0.0
824ba7fffffffff,76.0,0.0,0.0
824bb7fffffffff,6.0,0.0,0.0
826417fffffffff,7.0,5.0,0.0
826487fffffffff,4.0,0.0,0.0
826497fffffffff,9.0,0.0,0.0
826507fffffffff,231.0,0.0,4.0
82650ffffffffff,1.0,0.0,0.0
82651ffffffffff,11.0,0.0,5.0
8265b7fffffffff,8.0,0.0,0.0
826817fffffffff,7.0,0.0,7.0
