cell_id,Willisornis poecilinotus,Willisornis poecilinotus poecilinotus,Willisornis poecilinotus lepidonota/duidae,Willisornis poecilinotus gutturalis,Willisornis poecilinotus griseiventris
838b56fffffffff,2.0,0.0,0.0,0.0,0.0
838b61fffffffff,4.0,0.0,0.0,0.0,0.0
838b62fffffffff,7.0,0.0,0.0,0.0,0.0
838b63fffffffff,75.0,0.0,0.0,0.0,2.0
838b69fffffffff,14.0,0.0,0.0,0.0,0.0
838b6efffffffff,29.0,0.0,0.0,0.0,0.0
838b71fffffffff,68.0,0.0,0.0,0.0,1.0
838b74fffffffff,25.0,0.0,0.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0,0.0,0.0
838b82fffffffff,4.0,0.0,0.0,0.0,0.0
838b84fffffffff,16.0,0.0,0.0,0.0,0.0
838b88fffffffff,3.0,0.0,0.0,0.0,0.0
838b96fffffffff,7.0,0.0,0.0,0.0,0.0
838b9cfffffffff,1.0,0.0,0.0,0.0,0.0
838b9dfffffffff,8.0,0.0,0.0,0.0,0.0
838ba0fffffffff,6.0,0.0,0.0,0.0,0.0
838badfffffffff,2.0,0.0,0.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0,0.0,0.0
838f40fffffffff,41.0,0.0,0.0,0.0,0.0
838f43fffffffff,4.0,0.0,0.0,0.0,0.0
838f46fffffffff,51.0,0.0,0.0,0.0,0.0
838f48fffffffff,21.0,0.0,0.0,0.0,0.0
838f4afffffffff,8.0,0.0,0.0,0.0,0.0
838f4bfffffffff,9.0,0.0,0.0,0.0,0.0
838f5dfffffffff,4.0,0.0,0.0,0.0,0.0
838f61fffffffff,29.0,0.0,0.0,0.0,0.0
838f65fffffffff,93.0,0.0,0.0,0.0,0.0
838f6bfffffffff,12.0,0.0,0.0,0.0,0.0
838f71fffffffff,11.0,0.0,0.0,0.0,0.0
838f72fffffffff,54.0,0.0,4.0,0.0,0.0
838f74fffffffff,5.0,0.0,0.0,0.0,0.0
83a8c9fffffffff,2.0,0.0,0.0,0.0,0.0
