cell_id,Leucocarbo chalconotus,Leucocarbo chalconotus chalconotus,Leucocarbo chalconotus stewarti
82da87fffffffff,1488.0,863.0,0.0
82da8ffffffffff,10.0,0.0,0.0
82daaffffffffff,1120.0,1.0,305.0
