cell_id,Hylopezus perspicillatus,Hylopezus perspicillatus intermedius,Hylopezus perspicillatus lizanoi,Hylopezus perspicillatus perspicillatus,Hylopezus perspicillatus periophthalmicus,Hylopezus perspicillatus pallidior
824537fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,273.0,0.0,0.0,69.0,0.0,0.0
82661ffffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,2113.0,2.0,0.0,142.0,0.0,0.0
8266b7fffffffff,622.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,68.0,0.0,0.0,0.0,9.0,0.0
8266e7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8266f7fffffffff,131.0,0.0,0.0,0.0,1.0,0.0
82679ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,1875.0,0.0,0.0,0.0,0.0,0.0
