cell_id,Heterophasia desgodinsi,Heterophasia desgodinsi desgodinsi/tonkinensis,Heterophasia desgodinsi engelbachi/kingi,Heterophasia desgodinsi robinsoni
834013fffffffff,5.0,0.0,0.0,0.0
83401dfffffffff,1.0,1.0,0.0,0.0
83404cfffffffff,13.0,9.0,0.0,0.0
83406bfffffffff,5.0,5.0,0.0,0.0
8340aefffffffff,2.0,0.0,0.0,0.0
