cell_id,Pitta sordida,Pitta sordida cucullata,Pitta sordida mulleri/bangkana,Pitta sordida sordida/palawanensis,Pitta sordida sanghirana
823c17fffffffff,28.0,0.0,0.0,0.0,0.0
823c1ffffffffff,15.0,0.0,0.0,0.0,0.0
823c57fffffffff,12.0,0.0,0.0,0.0,0.0
823c5ffffffffff,83.0,0.0,0.0,0.0,0.0
823cc7fffffffff,137.0,0.0,0.0,0.0,0.0
823cdffffffffff,4.0,0.0,0.0,0.0,0.0
823ce7fffffffff,47.0,0.0,0.0,0.0,0.0
823ceffffffffff,35.0,1.0,0.0,0.0,0.0
823cf7fffffffff,7.0,0.0,0.0,0.0,0.0
823d17fffffffff,42.0,0.0,0.0,0.0,0.0
823daffffffffff,126.0,0.0,0.0,0.0,0.0
82404ffffffffff,14.0,1.0,0.0,0.0,0.0
824067fffffffff,7.0,0.0,0.0,0.0,0.0
826417fffffffff,54.0,13.0,0.0,0.0,0.0
82641ffffffffff,2.0,0.0,0.0,0.0,0.0
826427fffffffff,1.0,0.0,0.0,0.0,0.0
826437fffffffff,29.0,11.0,0.0,0.0,0.0
82648ffffffffff,10.0,0.0,0.0,0.0,0.0
82649ffffffffff,2.0,0.0,0.0,0.0,0.0
8264a7fffffffff,35.0,2.0,0.0,0.0,0.0
826507fffffffff,97.0,0.0,0.0,0.0,0.0
82651ffffffffff,97.0,9.0,0.0,0.0,0.0
826527fffffffff,34.0,0.0,0.0,0.0,0.0
82652ffffffffff,1.0,0.0,0.0,0.0,0.0
826587fffffffff,1.0,0.0,0.0,0.0,0.0
82658ffffffffff,64.0,17.0,0.0,0.0,0.0
82659ffffffffff,14.0,0.0,0.0,0.0,0.0
8265b7fffffffff,1.0,0.0,0.0,0.0,0.0
826807fffffffff,26.0,0.0,0.0,0.0,0.0
826817fffffffff,16.0,0.0,0.0,0.0,0.0
82681ffffffffff,577.0,0.0,10.0,0.0,0.0
82682ffffffffff,360.0,0.0,0.0,57.0,0.0
826847fffffffff,28.0,0.0,0.0,6.0,0.0
82684ffffffffff,38.0,0.0,0.0,2.0,0.0
82685ffffffffff,58.0,0.0,0.0,18.0,0.0
826867fffffffff,4.0,0.0,0.0,0.0,0.0
82686ffffffffff,2.0,0.0,0.0,0.0,0.0
826877fffffffff,6.0,0.0,0.0,0.0,0.0
82688ffffffffff,4.0,0.0,0.0,0.0,0.0
82689ffffffffff,3.0,0.0,0.0,0.0,0.0
8268b7fffffffff,2.0,0.0,1.0,0.0,0.0
826947fffffffff,79.0,0.0,0.0,5.0,0.0
82694ffffffffff,285.0,0.0,0.0,33.0,0.0
82695ffffffffff,27.0,0.0,0.0,0.0,0.0
82696ffffffffff,9.0,0.0,0.0,0.0,0.0
8273b7fffffffff,17.0,0.0,0.0,0.0,0.0
828c97fffffffff,9.0,0.0,0.0,0.0,0.0
828caffffffffff,31.0,0.0,1.0,0.0,0.0
828cb7fffffffff,2.0,0.0,0.0,0.0,0.0
