cell_id,Geophaps smithii,Geophaps smithii blaauwi,Geophaps smithii smithii
82941ffffffffff,59.0,0.0,0.0
829447fffffffff,2.0,0.0,0.0
829457fffffffff,56.0,0.0,0.0
82945ffffffffff,305.0,0.0,0.0
8294effffffffff,38.0,0.0,0.0
8294f7fffffffff,8.0,0.0,0.0
