cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
824527fffffffff,323.0,0.0,0.0,0.0,0.0
82452ffffffffff,356.0,39.0,0.0,0.0,0.0
824537fffffffff,83.0,0.0,0.0,0.0,0.0
824997fffffffff,13.0,0.0,0.0,0.0,0.0
82499ffffffffff,4.0,0.0,0.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0,0.0,0.0
825f2ffffffffff,15.0,0.0,0.0,0.0,0.0
825f47fffffffff,12.0,0.0,1.0,0.0,0.0
825f4ffffffffff,30.0,0.0,0.0,0.0,0.0
825f6ffffffffff,11.0,0.0,0.0,0.0,0.0
82660ffffffffff,278.0,0.0,1.0,0.0,0.0
82661ffffffffff,181.0,0.0,2.0,0.0,0.0
826627fffffffff,1768.0,0.0,207.0,0.0,0.0
82662ffffffffff,95.0,0.0,13.0,0.0,0.0
826647fffffffff,103.0,0.0,0.0,0.0,0.0
826657fffffffff,2.0,0.0,0.0,0.0,0.0
82665ffffffffff,32.0,0.0,0.0,9.0,0.0
826667fffffffff,9.0,0.0,0.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0,0.0,0.0
8266a7fffffffff,11.0,6.0,0.0,0.0,0.0
8266b7fffffffff,6.0,0.0,0.0,0.0,0.0
8266c7fffffffff,193.0,0.0,0.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0,0.0,0.0
8266d7fffffffff,2868.0,0.0,317.0,0.0,0.0
8266dffffffffff,820.0,0.0,115.0,25.0,0.0
8266e7fffffffff,2450.0,0.0,67.0,0.0,0.0
8266effffffffff,29.0,0.0,0.0,5.0,0.0
8266f7fffffffff,80.0,0.0,0.0,0.0,0.0
826747fffffffff,147.0,0.0,4.0,0.0,0.0
82674ffffffffff,118.0,0.0,3.0,0.0,0.0
82675ffffffffff,38.0,0.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0,0.0
826d27fffffffff,146.0,27.0,0.0,0.0,0.0
826d2ffffffffff,211.0,22.0,0.0,0.0,0.0
826d37fffffffff,241.0,10.0,0.0,0.0,0.0
826d67fffffffff,955.0,0.0,0.0,0.0,0.0
826d6ffffffffff,1.0,0.0,0.0,0.0,0.0
82814ffffffffff,39.0,0.0,0.0,0.0,34.0
828a07fffffffff,8.0,0.0,0.0,0.0,0.0
828a17fffffffff,4.0,0.0,0.0,0.0,0.0
828a1ffffffffff,3.0,0.0,0.0,2.0,0.0
828a27fffffffff,2.0,0.0,0.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0,2.0,0.0
828a47fffffffff,33.0,0.0,0.0,3.0,0.0
828a57fffffffff,3.0,0.0,0.0,0.0,0.0
828a6ffffffffff,84.0,0.0,0.0,1.0,0.0
828a87fffffffff,31.0,0.0,0.0,0.0,0.0
828a9ffffffffff,31.0,0.0,0.0,0.0,0.0
828aaffffffffff,4.0,0.0,0.0,0.0,0.0
828af7fffffffff,10.0,0.0,0.0,3.0,0.0
828b07fffffffff,1.0,0.0,0.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0,0.0,0.0
828b27fffffffff,47.0,0.0,0.0,0.0,0.0
828b2ffffffffff,29.0,0.0,0.0,0.0,0.0
828b47fffffffff,120.0,0.0,0.0,0.0,0.0
828b57fffffffff,4.0,0.0,0.0,0.0,0.0
828b5ffffffffff,4.0,0.0,0.0,0.0,0.0
828b67fffffffff,180.0,0.0,5.0,0.0,0.0
828b6ffffffffff,54.0,0.0,1.0,0.0,0.0
828b77fffffffff,50.0,0.0,0.0,0.0,0.0
828b87fffffffff,10.0,0.0,0.0,0.0,0.0
828b8ffffffffff,5.0,0.0,0.0,0.0,0.0
828b9ffffffffff,175.0,0.0,0.0,0.0,0.0
828ba7fffffffff,1.0,0.0,0.0,0.0,0.0
828e67fffffffff,47.0,0.0,0.0,0.0,0.0
828f0ffffffffff,67.0,0.0,5.0,0.0,0.0
828f2ffffffffff,63.0,0.0,0.0,0.0,0.0
828f47fffffffff,79.0,0.0,6.0,0.0,0.0
828f4ffffffffff,13.0,0.0,0.0,0.0,0.0
828f57fffffffff,74.0,0.0,14.0,0.0,0.0
828f5ffffffffff,6.0,0.0,0.0,0.0,0.0
828f67fffffffff,34.0,0.0,0.0,0.0,0.0
828f6ffffffffff,36.0,0.0,0.0,0.0,0.0
828f77fffffffff,194.0,0.0,30.0,0.0,0.0
82a85ffffffffff,9.0,0.0,0.0,0.0,0.0
82a8cffffffffff,2.0,0.0,0.0,0.0,0.0
82b327fffffffff,14.0,0.0,0.0,0.0,0.0
