cell_id,Bubo ascalaphus,Bubo ascalaphus ascalaphus,Bubo ascalaphus desertorum
832c90fffffffff,4.0,0.0,0.0
832c91fffffffff,18.0,0.0,0.0
832c93fffffffff,258.0,0.0,9.0
832d91fffffffff,3.0,0.0,0.0
832d92fffffffff,2.0,0.0,0.0
832db2fffffffff,22.0,1.0,0.0
832db3fffffffff,7.0,0.0,0.0
833816fffffffff,105.0,12.0,2.0
833836fffffffff,2.0,0.0,0.0
8338a4fffffffff,1.0,0.0,0.0
833982fffffffff,1.0,0.0,0.0
833983fffffffff,1.0,0.0,0.0
833988fffffffff,188.0,41.0,1.0
833989fffffffff,2.0,0.0,0.0
83398afffffffff,3.0,0.0,0.0
83398bfffffffff,3.0,0.0,0.0
83398efffffffff,3.0,0.0,0.0
833992fffffffff,1.0,0.0,0.0
833993fffffffff,4.0,0.0,0.0
833998fffffffff,3.0,0.0,0.0
83399dfffffffff,3.0,0.0,0.0
833e62fffffffff,2.0,0.0,0.0
833e68fffffffff,20.0,0.0,0.0
833e6cfffffffff,69.0,3.0,0.0
834381fffffffff,1.0,0.0,0.0
8343a1fffffffff,73.0,0.0,7.0
8343a3fffffffff,2.0,0.0,0.0
8343a6fffffffff,1.0,0.0,0.0
8343a8fffffffff,1.0,0.0,0.0
8343acfffffffff,48.0,0.0,4.0
8343aefffffffff,34.0,0.0,1.0
8343b1fffffffff,1.0,0.0,0.0
835305fffffffff,1.0,0.0,0.0
835313fffffffff,3.0,0.0,0.0
835324fffffffff,4.0,0.0,0.0
835329fffffffff,1.0,0.0,0.0
83532bfffffffff,1.0,0.0,0.0
835343fffffffff,1.0,0.0,0.0
835344fffffffff,1.0,0.0,0.0
835345fffffffff,10.0,0.0,0.0
83534cfffffffff,3.0,0.0,0.0
83534dfffffffff,1.0,0.0,0.0
835363fffffffff,11.0,0.0,0.0
835368fffffffff,1.0,0.0,0.0
835373fffffffff,3.0,0.0,0.0
835512fffffffff,7.0,0.0,0.0
835513fffffffff,7.0,0.0,0.0
835518fffffffff,3.0,0.0,0.0
83551efffffffff,3.0,0.0,0.0
8355abfffffffff,1.0,0.0,0.0
