cell_id,Upucerthia validirostris,Upucerthia validirostris jelskii/saturata,Upucerthia validirostris validirostris
838b21fffffffff,1.0,1.0,0.0
838b25fffffffff,1.0,0.0,0.0
838b2cfffffffff,37.0,20.0,0.0
838b60fffffffff,20.0,10.0,0.0
838b61fffffffff,26.0,7.0,0.0
838b64fffffffff,5.0,0.0,0.0
838b65fffffffff,3.0,0.0,0.0
838b66fffffffff,6.0,0.0,0.0
838e60fffffffff,92.0,48.0,0.0
838e61fffffffff,15.0,3.0,0.0
838e64fffffffff,74.0,40.0,0.0
838e65fffffffff,8.0,2.0,0.0
838e66fffffffff,329.0,161.0,0.0
838e68fffffffff,2.0,2.0,0.0
838e69fffffffff,3.0,0.0,0.0
838e6afffffffff,5.0,1.0,0.0
838e6dfffffffff,13.0,4.0,0.0
838e6efffffffff,4.0,2.0,0.0
838f58fffffffff,42.0,14.0,0.0
838f59fffffffff,43.0,10.0,0.0
838f5bfffffffff,6.0,2.0,0.0
83b209fffffffff,7.0,0.0,0.0
83b20dfffffffff,6.0,0.0,0.0
83b229fffffffff,2.0,0.0,0.0
83b22bfffffffff,2.0,0.0,0.0
83b270fffffffff,5.0,0.0,0.0
83b272fffffffff,2.0,0.0,0.0
83b274fffffffff,13.0,0.0,0.0
83b2e3fffffffff,3.0,0.0,0.0
83b2eefffffffff,6.0,0.0,1.0
83b301fffffffff,9.0,2.0,0.0
83b304fffffffff,67.0,23.0,0.0
83b305fffffffff,401.0,120.0,0.0
83b309fffffffff,1.0,0.0,0.0
83b30cfffffffff,6.0,2.0,0.0
83b30dfffffffff,3.0,3.0,0.0
83b321fffffffff,4.0,3.0,0.0
83b322fffffffff,12.0,5.0,0.0
83b323fffffffff,71.0,11.0,0.0
83b324fffffffff,3.0,0.0,0.0
83b325fffffffff,10.0,7.0,0.0
83b326fffffffff,3.0,3.0,0.0
83b32cfffffffff,9.0,7.0,0.0
83b32dfffffffff,6.0,2.0,0.0
83b331fffffffff,2.0,0.0,0.0
83b334fffffffff,38.0,5.0,0.0
83b335fffffffff,129.0,25.0,0.0
83b342fffffffff,32.0,0.0,0.0
83b346fffffffff,15.0,0.0,3.0
83b351fffffffff,38.0,0.0,5.0
83b352fffffffff,1.0,0.0,0.0
83b353fffffffff,14.0,0.0,1.0
83b354fffffffff,45.0,0.0,0.0
83b355fffffffff,113.0,0.0,0.0
83b35afffffffff,207.0,0.0,7.0
83b35efffffffff,59.0,0.0,11.0
83b372fffffffff,5.0,0.0,0.0
83b373fffffffff,169.0,0.0,6.0
