cell_id,Tylas eduardi,Tylas eduardi eduardi,Tylas eduardi albigularis
84a210dffffffff,1.0,0.0,0.0
84a2129ffffffff,5.0,0.0,0.0
84a2143ffffffff,345.0,0.0,0.0
84a215dffffffff,1.0,0.0,0.0
84a2163ffffffff,2.0,0.0,0.0
84a2227ffffffff,184.0,0.0,0.0
84a2315ffffffff,1.0,0.0,0.0
84a2319ffffffff,1.0,0.0,0.0
84a231bffffffff,224.0,0.0,0.0
84a2353ffffffff,7.0,0.0,0.0
84a2357ffffffff,2.0,0.0,0.0
84a2ae9ffffffff,13.0,0.0,0.0
84a2aedffffffff,8.0,0.0,0.0
84a3083ffffffff,1.0,0.0,0.0
84a3087ffffffff,1.0,0.0,0.0
84a308bffffffff,28.0,0.0,0.0
84a3091ffffffff,1.0,0.0,0.0
84a3093ffffffff,15.0,0.0,0.0
84a3097ffffffff,1.0,0.0,0.0
84a30d5ffffffff,2.0,0.0,0.0
84a319dffffffff,2.0,0.0,0.0
84a3565ffffffff,5.0,0.0,0.0
84a3567ffffffff,40.0,0.0,0.0
84a356dffffffff,2.0,0.0,0.0
84a3761ffffffff,3.0,0.0,0.0
84a3765ffffffff,1.0,0.0,0.0
84a3ab7ffffffff,1.0,0.0,0.0
