cell_id,Lacedo pulchella,Lacedo pulchella [pulchella Group],Lacedo pulchella melanops
82414ffffffffff,1.0,0.0,0.0
824167fffffffff,1.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0
826417fffffffff,290.0,85.0,0.0
826437fffffffff,246.0,135.0,0.0
826487fffffffff,26.0,16.0,0.0
826497fffffffff,3.0,3.0,0.0
8264a7fffffffff,16.0,6.0,0.0
8264b7fffffffff,16.0,6.0,0.0
826507fffffffff,393.0,0.0,0.0
82651ffffffffff,221.0,54.0,0.0
826527fffffffff,288.0,0.0,0.0
826557fffffffff,9.0,0.0,0.0
826587fffffffff,42.0,0.0,0.0
82658ffffffffff,15.0,4.0,0.0
826597fffffffff,38.0,0.0,0.0
82659ffffffffff,387.0,127.0,0.0
8265b7fffffffff,219.0,25.0,0.0
826807fffffffff,20.0,0.0,0.0
826817fffffffff,55.0,0.0,14.0
82681ffffffffff,199.0,0.0,57.0
826887fffffffff,3.0,0.0,0.0
82688ffffffffff,6.0,0.0,0.0
82689ffffffffff,2.0,0.0,0.0
8268a7fffffffff,3.0,0.0,2.0
828c17fffffffff,30.0,0.0,0.0
828c1ffffffffff,18.0,0.0,0.0
828c97fffffffff,32.0,0.0,8.0
828caffffffffff,32.0,3.0,0.0
828cd7fffffffff,13.0,2.0,0.0
828d87fffffffff,1.0,0.0,0.0
828d8ffffffffff,2.0,1.0,0.0
828da7fffffffff,12.0,0.0,0.0
