cell_id,Systellura longirostris,Systellura longirostris roraimae,Systellura longirostris ruficervix,Systellura longirostris atripunctata,Systellura longirostris bifasciata/patagonica,Systellura longirostris longirostris,Systellura longirostris mochaensis
835f4bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835f70fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
835f71fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
835f75fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836601fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
836609fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,122.0,0.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,85.0,0.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,232.0,0.0,7.0,0.0,0.0,0.0,0.0
83661dfffffffff,30.0,0.0,1.0,0.0,0.0,0.0,0.0
836620fffffffff,399.0,0.0,28.0,0.0,0.0,0.0,0.0
836621fffffffff,283.0,0.0,0.0,0.0,0.0,0.0,0.0
836623fffffffff,37.0,0.0,8.0,0.0,0.0,0.0,0.0
836629fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
83662bfffffffff,16.0,0.0,4.0,0.0,0.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
836652fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836675fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c0fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c4fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c6fffffffff,60.0,0.0,2.0,0.0,0.0,0.0,0.0
8366d0fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d1fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,404.0,0.0,45.0,0.0,0.0,0.0,0.0
8366d5fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,198.0,0.0,10.0,0.0,0.0,0.0,0.0
8366e0fffffffff,177.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e2fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,275.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e5fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,555.0,0.0,23.0,0.0,0.0,0.0,0.0
8366f1fffffffff,100.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,85.0,0.0,2.0,0.0,0.0,0.0,0.0
836741fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
836743fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83674cfffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
83674efffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
83675afffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
83675cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83675efffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
838006fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838011fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
838100fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838102fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838121fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
838124fffffffff,8.0,0.0,0.0,0.0,0.0,1.0,0.0
83812dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838172fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838181fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838185fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8381adfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838b20fffffffff,18.0,0.0,0.0,2.0,0.0,0.0,0.0
838b21fffffffff,6.0,0.0,0.0,1.0,0.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838b25fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b2cfffffffff,45.0,0.0,0.0,3.0,0.0,0.0,0.0
838b60fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838b61fffffffff,102.0,0.0,0.0,0.0,0.0,0.0,0.0
838b64fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b66fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838b6cfffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
838b75fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838bb5fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
838e45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
