cell_id,Fregetta grallaria,Fregetta grallaria [grallaria Group],Fregetta grallaria titan
82a0dffffffffff,1.0,0.0,0.0
82a167fffffffff,1.0,0.0,1.0
82a16ffffffffff,16.0,0.0,15.0
82a4cffffffffff,1.0,0.0,0.0
82b007fffffffff,1.0,1.0,0.0
82ba1ffffffffff,35.0,0.0,0.0
82ba6ffffffffff,5.0,0.0,0.0
82baf7fffffffff,14.0,0.0,0.0
82bd4ffffffffff,9.0,2.0,0.0
82be17fffffffff,1.0,0.0,0.0
82bea7fffffffff,1.0,0.0,0.0
82beaffffffffff,6.0,0.0,0.0
82bf1ffffffffff,2.0,0.0,0.0
82bf67fffffffff,1.0,0.0,0.0
82bf8ffffffffff,47.0,0.0,0.0
82c01ffffffffff,12.0,0.0,0.0
82c027fffffffff,1.0,0.0,0.0
82c06ffffffffff,1.0,0.0,0.0
82c0e7fffffffff,10.0,0.0,0.0
82c64ffffffffff,1.0,0.0,0.0
82ccf7fffffffff,3.0,0.0,0.0
82d127fffffffff,1.0,0.0,0.0
82dcdffffffffff,3.0,1.0,0.0
