cell_id,Gallirex johnstoni,Gallirex johnstoni johnstoni,Gallirex johnstoni bredoi,Gallirex johnstoni kivuensis
836adcfffffffff,7.0,0.0,0.0,7.0
836adefffffffff,8.0,0.0,0.0,0.0
