cell_id,Basileuterus culicivorus,Basileuterus culicivorus [culicivorus Group],Basileuterus culicivorus [cabanisi Group],Basileuterus culicivorus [auricapilla Group],Basileuterus culicivorus hypoleucus
834501fffffffff,1.0,0.0,0.0,0.0,0.0
83450afffffffff,9.0,0.0,0.0,0.0,0.0
834520fffffffff,226.0,7.0,0.0,0.0,0.0
834521fffffffff,25.0,0.0,0.0,0.0,0.0
834522fffffffff,65.0,0.0,0.0,0.0,0.0
834523fffffffff,14.0,0.0,0.0,0.0,0.0
834525fffffffff,9.0,0.0,0.0,0.0,0.0
834526fffffffff,243.0,0.0,0.0,0.0,0.0
834528fffffffff,192.0,0.0,0.0,0.0,0.0
83452afffffffff,377.0,0.0,0.0,0.0,0.0
83452bfffffffff,39.0,0.0,0.0,0.0,0.0
83452cfffffffff,285.0,9.0,0.0,0.0,0.0
83452dfffffffff,217.0,29.0,0.0,0.0,0.0
83452efffffffff,2995.0,13.0,0.0,0.0,0.0
834530fffffffff,30.0,0.0,0.0,0.0,0.0
834531fffffffff,3.0,0.0,0.0,0.0,0.0
834534fffffffff,33.0,0.0,0.0,0.0,0.0
834535fffffffff,116.0,0.0,0.0,0.0,0.0
834536fffffffff,2.0,0.0,0.0,0.0,0.0
834564fffffffff,48.0,3.0,0.0,0.0,0.0
834836fffffffff,282.0,0.0,0.0,0.0,0.0
8348a2fffffffff,506.0,0.0,0.0,0.0,0.0
8348b5fffffffff,21.0,0.0,0.0,0.0,0.0
834986fffffffff,1.0,0.0,0.0,0.0,0.0
834990fffffffff,68.0,2.0,0.0,0.0,0.0
834991fffffffff,38.0,0.0,0.0,0.0,0.0
834993fffffffff,3.0,1.0,0.0,0.0,0.0
834996fffffffff,2466.0,830.0,0.0,0.0,0.0
834998fffffffff,474.0,15.0,0.0,0.0,0.0
83499afffffffff,2.0,0.0,0.0,0.0,0.0
83499bfffffffff,40.0,1.0,0.0,0.0,0.0
83499cfffffffff,86.0,0.0,0.0,0.0,0.0
