cell_id,Cinnyris reichenowi,Cinnyris reichenowi preussi,Cinnyris reichenowi reichenowi
8358c8fffffffff,1.0,1.0,0.0
8358cafffffffff,1.0,0.0,0.0
8358d0fffffffff,1.0,0.0,0.0
8358d1fffffffff,9.0,1.0,0.0
8358d3fffffffff,37.0,37.0,0.0
8358dbfffffffff,2.0,0.0,0.0
8358dcfffffffff,6.0,0.0,0.0
8358defffffffff,9.0,0.0,0.0
836ac0fffffffff,19.0,0.0,0.0
836ac1fffffffff,24.0,0.0,2.0
836ac3fffffffff,21.0,0.0,2.0
836ac5fffffffff,6.0,0.0,3.0
836ac9fffffffff,5.0,0.0,0.0
836acefffffffff,1.0,0.0,0.0
836adcfffffffff,1649.0,0.0,126.0
836adefffffffff,184.0,0.0,1.0
836aeafffffffff,7.0,0.0,0.0
836aedfffffffff,1.0,0.0,0.0
836aeefffffffff,4.0,0.0,0.0
837a40fffffffff,12.0,0.0,0.0
837a41fffffffff,30.0,0.0,0.0
837a45fffffffff,543.0,0.0,1.0
837a48fffffffff,91.0,0.0,3.0
837a4cfffffffff,355.0,0.0,0.0
837a4dfffffffff,22.0,0.0,0.0
837a6afffffffff,24.0,0.0,0.0
837a6bfffffffff,17.0,0.0,0.0
837a6efffffffff,387.0,0.0,0.0
83828bfffffffff,7.0,0.0,0.0
8382d0fffffffff,73.0,42.0,0.0
8382d1fffffffff,17.0,15.0,0.0
8382d2fffffffff,13.0,2.0,0.0
8382d3fffffffff,27.0,15.0,0.0
8396d2fffffffff,6.0,0.0,0.0
