cell_id,Pachyramphus viridis,Pachyramphus viridis xanthogenys/peruanus,Pachyramphus viridis griseigularis,Pachyramphus viridis viridis
825f07fffffffff,5.0,0.0,0.0,0.0
825f47fffffffff,2.0,0.0,0.0,0.0
825f77fffffffff,1.0,0.0,0.0,0.0
8266dffffffffff,218.0,120.0,0.0,0.0
828007fffffffff,7.0,0.0,0.0,3.0
828017fffffffff,21.0,0.0,0.0,0.0
828027fffffffff,3.0,0.0,0.0,0.0
828037fffffffff,87.0,0.0,0.0,9.0
828047fffffffff,2.0,0.0,0.0,0.0
828067fffffffff,3.0,0.0,0.0,0.0
828107fffffffff,24.0,0.0,0.0,0.0
828117fffffffff,3.0,0.0,0.0,0.0
82811ffffffffff,4.0,0.0,0.0,2.0
828127fffffffff,80.0,0.0,0.0,17.0
82812ffffffffff,2.0,0.0,0.0,0.0
828137fffffffff,289.0,0.0,0.0,41.0
828147fffffffff,26.0,0.0,0.0,11.0
82814ffffffffff,13.0,0.0,0.0,0.0
828157fffffffff,1.0,0.0,0.0,1.0
82815ffffffffff,10.0,0.0,0.0,2.0
828167fffffffff,1.0,0.0,0.0,0.0
828177fffffffff,23.0,0.0,0.0,6.0
828187fffffffff,77.0,0.0,0.0,10.0
82818ffffffffff,10.0,0.0,0.0,1.0
8281affffffffff,3.0,0.0,0.0,0.0
828b0ffffffffff,11.0,0.0,0.0,0.0
828b17fffffffff,2.0,0.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0,0.0
828b27fffffffff,12.0,0.0,0.0,0.0
828b2ffffffffff,3.0,0.0,0.0,0.0
828b4ffffffffff,3.0,3.0,0.0,0.0
828b57fffffffff,7.0,7.0,0.0,0.0
828b5ffffffffff,71.0,66.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0,0.0
828ba7fffffffff,3.0,0.0,0.0,0.0
828bb7fffffffff,23.0,0.0,0.0,0.0
828e67fffffffff,30.0,0.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0,0.0
828f47fffffffff,71.0,35.0,0.0,0.0
828f4ffffffffff,14.0,0.0,0.0,0.0
828f57fffffffff,44.0,4.0,0.0,0.0
828f77fffffffff,220.0,129.0,0.0,0.0
82a807fffffffff,145.0,0.0,0.0,43.0
82a80ffffffffff,4.0,0.0,0.0,2.0
82a817fffffffff,329.0,0.0,0.0,73.0
82a81ffffffffff,59.0,0.0,0.0,10.0
82a827fffffffff,70.0,0.0,0.0,11.0
82a82ffffffffff,16.0,0.0,0.0,4.0
82a837fffffffff,43.0,0.0,0.0,15.0
82a847fffffffff,68.0,0.0,0.0,15.0
82a84ffffffffff,1.0,0.0,0.0,0.0
82a85ffffffffff,280.0,0.0,0.0,12.0
82a867fffffffff,31.0,0.0,0.0,7.0
82a86ffffffffff,7.0,0.0,0.0,0.0
82a877fffffffff,4.0,0.0,0.0,1.0
82a887fffffffff,243.0,0.0,0.0,53.0
82a88ffffffffff,17.0,0.0,0.0,7.0
82a897fffffffff,98.0,0.0,0.0,31.0
82a89ffffffffff,2.0,0.0,0.0,0.0
82a8a7fffffffff,306.0,0.0,0.0,94.0
82a8affffffffff,99.0,0.0,0.0,43.0
82a8b7fffffffff,3.0,0.0,0.0,1.0
82a8c7fffffffff,7.0,0.0,0.0,5.0
82a8d7fffffffff,13.0,0.0,0.0,3.0
82a8dffffffffff,2.0,0.0,0.0,0.0
82a907fffffffff,7.0,0.0,0.0,0.0
82a90ffffffffff,30.0,0.0,0.0,4.0
82a91ffffffffff,8.0,0.0,0.0,0.0
82a92ffffffffff,280.0,0.0,0.0,9.0
82a947fffffffff,326.0,0.0,0.0,0.0
82a94ffffffffff,274.0,0.0,0.0,0.0
82a957fffffffff,246.0,0.0,0.0,11.0
82a95ffffffffff,32.0,0.0,0.0,0.0
82a967fffffffff,99.0,0.0,0.0,0.0
82a96ffffffffff,252.0,0.0,0.0,0.0
82a977fffffffff,12.0,0.0,0.0,5.0
82b24ffffffffff,38.0,0.0,0.0,0.0
82b267fffffffff,9.0,0.0,0.0,0.0
82b26ffffffffff,6.0,0.0,0.0,0.0
82b277fffffffff,21.0,0.0,0.0,0.0
82b327fffffffff,2.0,0.0,0.0,0.0
82b347fffffffff,106.0,0.0,0.0,0.0
82b34ffffffffff,36.0,0.0,0.0,0.0
82b357fffffffff,7.0,0.0,0.0,0.0
82b35ffffffffff,257.0,0.0,0.0,0.0
82b367fffffffff,22.0,0.0,0.0,0.0
82b36ffffffffff,11.0,0.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0,0.0
82c2c7fffffffff,30.0,0.0,0.0,3.0
82c2cffffffffff,123.0,0.0,0.0,0.0
82c2d7fffffffff,83.0,0.0,0.0,10.0
82c2dffffffffff,46.0,0.0,0.0,0.0
82c2f7fffffffff,43.0,0.0,0.0,0.0
