cell_id,Mergus merganser,Mergus merganser merganser/orientalis,Mergus merganser americanus
840130bffffffff,2.0,0.0,0.0
8401353ffffffff,10.0,0.0,0.0
8407431ffffffff,1.0,0.0,0.0
8407433ffffffff,2.0,0.0,0.0
8407457ffffffff,1.0,1.0,0.0
8407461ffffffff,4.0,4.0,0.0
840746dffffffff,4.0,4.0,0.0
8407623ffffffff,3.0,0.0,0.0
8408855ffffffff,2.0,0.0,0.0
8408867ffffffff,1.0,1.0,0.0
8408869ffffffff,2.0,0.0,0.0
84089d3ffffffff,2.0,0.0,0.0
840c143ffffffff,21.0,0.0,6.0
840c147ffffffff,16.0,0.0,6.0
840c14dffffffff,3.0,0.0,0.0
840c415ffffffff,15.0,0.0,0.0
840c465ffffffff,3.0,0.0,1.0
840c467ffffffff,3.0,0.0,3.0
840c501ffffffff,2.0,0.0,0.0
840c50dffffffff,2.0,0.0,2.0
840c51dffffffff,7.0,0.0,6.0
840c54bffffffff,2.0,0.0,0.0
840c55bffffffff,2.0,0.0,0.0
840c5a5ffffffff,6.0,0.0,1.0
840c5adffffffff,14.0,0.0,0.0
840c66dffffffff,2.0,0.0,0.0
840c683ffffffff,2.0,0.0,0.0
840c707ffffffff,1.0,0.0,0.0
840c715ffffffff,1.0,0.0,0.0
840c733ffffffff,37.0,0.0,10.0
840c739ffffffff,4.0,0.0,4.0
840c73bffffffff,8.0,0.0,2.0
840ca43ffffffff,45.0,2.0,28.0
840cd8dffffffff,2.0,0.0,0.0
840ce9dffffffff,2.0,0.0,0.0
840cec5ffffffff,5.0,0.0,0.0
840ced3ffffffff,3.0,0.0,0.0
840ced5ffffffff,2.0,0.0,0.0
840d039ffffffff,1.0,0.0,0.0
840d09bffffffff,2.0,0.0,0.0
840d0d3ffffffff,1.0,0.0,0.0
840d583ffffffff,2.0,0.0,0.0
840d595ffffffff,4.0,0.0,0.0
840d625ffffffff,1.0,0.0,0.0
840d753ffffffff,11.0,0.0,0.0
840d761ffffffff,2.0,0.0,0.0
840e0e3ffffffff,3.0,0.0,0.0
840e45bffffffff,8.0,0.0,0.0
840e491ffffffff,3.0,0.0,0.0
840e523ffffffff,2.0,0.0,0.0
840e5b3ffffffff,1.0,0.0,0.0
840e805ffffffff,6.0,0.0,1.0
840e945ffffffff,3.0,0.0,3.0
840ec19ffffffff,11.0,0.0,0.0
840ec51ffffffff,2.0,0.0,0.0
840ec57ffffffff,2.0,0.0,0.0
840ecbdffffffff,6.0,0.0,0.0
840ecc9ffffffff,4.0,0.0,0.0
840ed9bffffffff,1.0,0.0,0.0
840eea7ffffffff,85.0,0.0,0.0
840eeb5ffffffff,105.0,0.0,0.0
840ef1dffffffff,3.0,0.0,3.0
840ef39ffffffff,1.0,0.0,0.0
8412489ffffffff,3.0,0.0,0.0
84124b5ffffffff,2.0,0.0,0.0
8412505ffffffff,10.0,0.0,0.0
8412511ffffffff,1.0,0.0,1.0
8412515ffffffff,3.0,0.0,0.0
8412591ffffffff,5.0,0.0,0.0
84125cbffffffff,2.0,0.0,2.0
84129bbffffffff,6.0,0.0,0.0
8412a95ffffffff,2.0,0.0,0.0
8412ab3ffffffff,1.0,0.0,0.0
8412ab5ffffffff,2.0,0.0,0.0
8412b03ffffffff,3.0,0.0,0.0
8412b6bffffffff,2.0,0.0,2.0
8412c09ffffffff,2.0,0.0,0.0
8412c11ffffffff,19.0,0.0,0.0
8412c21ffffffff,1.0,0.0,0.0
8412c33ffffffff,2.0,0.0,0.0
8412c39ffffffff,3.0,0.0,0.0
