cell_id,Sporophila corvina,Sporophila corvina corvina,Sporophila corvina [ophthalmica Group]
834520fffffffff,2.0,2.0,0.0
834521fffffffff,1.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0
834526fffffffff,9.0,0.0,0.0
83452afffffffff,5.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,6.0,0.0,0.0
836610fffffffff,1.0,0.0,0.0
836611fffffffff,15.0,0.0,2.0
836613fffffffff,4.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0
83661bfffffffff,27.0,0.0,4.0
8366a0fffffffff,7.0,7.0,0.0
8366a5fffffffff,12.0,2.0,1.0
8366b0fffffffff,13.0,0.0,8.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,24.0,5.0,3.0
8366b5fffffffff,26.0,16.0,1.0
8366b6fffffffff,1.0,0.0,1.0
8366d0fffffffff,2.0,0.0,0.0
8366d3fffffffff,26.0,0.0,8.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0
8366f3fffffffff,3.0,0.0,0.0
83679afffffffff,22.0,7.0,0.0
83679bfffffffff,9.0,3.0,1.0
836d21fffffffff,5.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d2bfffffffff,3.0,0.0,0.0
836d2cfffffffff,6.0,0.0,0.0
836d30fffffffff,7.0,0.0,0.0
836d31fffffffff,14.0,2.0,0.0
836d35fffffffff,1.0,0.0,0.0
836d65fffffffff,17.0,0.0,0.0
836d68fffffffff,78.0,0.0,1.0
836d69fffffffff,134.0,35.0,15.0
836d6bfffffffff,12.0,0.0,0.0
836d6dfffffffff,7.0,5.0,0.0
836d6efffffffff,4.0,0.0,0.0
838f0dfffffffff,6.0,0.0,2.0
838f2cfffffffff,5.0,0.0,5.0
838f50fffffffff,1.0,0.0,0.0
838f72fffffffff,3.0,0.0,1.0
