cell_id,Icterus cucullatus,Icterus cucullatus cucullatus/sennetti,Icterus cucullatus [nelsoni Group],Icterus cucullatus igneus
8428023ffffffff,64.0,0.0,3.0,0.0
842802bffffffff,48.0,0.0,4.0,0.0
8428069ffffffff,3.0,0.0,0.0,0.0
842806dffffffff,8.0,0.0,0.0,0.0
8428103ffffffff,2.0,0.0,0.0,0.0
842810bffffffff,2.0,0.0,0.0,0.0
8428149ffffffff,2.0,0.0,0.0,0.0
842814bffffffff,68.0,0.0,0.0,0.0
8428151ffffffff,41.0,0.0,0.0,0.0
8428153ffffffff,6.0,0.0,0.0,0.0
8428157ffffffff,21.0,0.0,0.0,0.0
8428159ffffffff,4.0,0.0,0.0,0.0
842815dffffffff,13.0,0.0,0.0,0.0
8428301ffffffff,324.0,0.0,3.0,0.0
8428303ffffffff,329.0,0.0,9.0,0.0
8428305ffffffff,242.0,0.0,0.0,0.0
8428307ffffffff,362.0,0.0,0.0,0.0
8428309ffffffff,2212.0,0.0,11.0,0.0
842830bffffffff,367.0,0.0,20.0,0.0
842830dffffffff,371.0,0.0,35.0,0.0
8428315ffffffff,17.0,0.0,1.0,0.0
8428317ffffffff,19.0,0.0,0.0,0.0
842831dffffffff,111.0,0.0,20.0,0.0
8428321ffffffff,130.0,0.0,0.0,0.0
8428323ffffffff,32.0,0.0,0.0,0.0
8428329ffffffff,83.0,0.0,0.0,0.0
842832bffffffff,872.0,0.0,0.0,0.0
842832dffffffff,5.0,0.0,0.0,0.0
8428331ffffffff,14.0,0.0,0.0,0.0
8428333ffffffff,1.0,0.0,0.0,0.0
8428335ffffffff,6.0,0.0,0.0,0.0
8428337ffffffff,55.0,0.0,0.0,0.0
8428339ffffffff,18.0,0.0,1.0,0.0
842833bffffffff,51.0,0.0,7.0,0.0
842833dffffffff,9.0,0.0,0.0,0.0
8428341ffffffff,931.0,0.0,27.0,0.0
8428343ffffffff,430.0,0.0,0.0,0.0
8428345ffffffff,520.0,0.0,2.0,0.0
8428347ffffffff,2386.0,0.0,4.0,0.0
842834dffffffff,1179.0,0.0,464.0,0.0
8428355ffffffff,267.0,0.0,0.0,0.0
8428361ffffffff,27.0,0.0,0.0,0.0
8428363ffffffff,7.0,0.0,0.0,0.0
8428365ffffffff,49.0,0.0,0.0,0.0
8428369ffffffff,33.0,0.0,0.0,0.0
842836bffffffff,34.0,0.0,0.0,0.0
842836dffffffff,2.0,0.0,0.0,0.0
8429121ffffffff,97.0,0.0,0.0,0.0
8429123ffffffff,2.0,0.0,0.0,0.0
8429125ffffffff,1286.0,0.0,0.0,0.0
8429127ffffffff,1750.0,0.0,0.0,0.0
